code,male,female,g10,g20,g30,g40,g50,g60,livingpop,workingpop,house1,house2,house3,house4,house5
11,4724585,4983662,810272,1533129,1549358,1587669,1589781,1238052,9556157,4867543,1810878,940220,767670,668740,152518
11110,73062,76900,11918,28260,21719,23751,26807,20050,152010,236608,37503,14341,10697,8837,2364
11110515,5851,6699,1227,1675,1776,2238,2036,1390,13460,11210,2043,1135,991,915,234
11110530,4250,5234,704,1279,1496,1558,1588,1203,10005,50432,2373,935,673,536,147
11110540,1297,1392,237,350,426,428,453,447,2936,6271,729,252,182,140,43
11110550,4766,5274,941,1526,1366,1693,1733,1287,10225,4205,1686,972,745,689,177
11110560,8625,9818,1665,2523,2287,2834,3363,2465,19770,24632,2428,1753,1470,1352,396
11110570,4018,4597,1025,949,984,1582,1411,990,6457,483,764,717,736,757,188
11110580,4885,5616,872,1307,1840,1877,1628,1138,10409,1038,1658,1090,918,755,138
11110600,2004,2327,348,498,602,795,724,603,4194,11208,956,433,348,243,63
11110615,4327,2876,295,1096,1208,1244,1583,1469,7020,94207,4149,523,286,204,49
11110630,2888,2433,273,1365,761,671,1017,798,5214,15596,2353,520,285,180,57
11110640,3640,4085,505,2061,1364,1070,1155,924,8204,4510,2725,805,462,343,98
11110650,8141,8700,1631,7034,2326,2326,2338,1593,16286,7313,5634,1459,1050,875,217
11110670,2801,2372,275,930,642,761,1363,1051,5454,1363,1766,571,317,208,72
11110680,4295,4044,571,1650,1091,1310,2113,1428,8655,348,1983,908,622,445,135
11110690,3408,3559,558,1039,1019,1015,1308,997,7581,319,944,689,634,454,151
11110700,2990,3153,399,906,925,1023,1216,894,6003,447,1397,658,459,355,95
11110710,4876,4721,392,2072,1606,1326,1778,1373,9210,1891,3915,921,519,386,104
11140,61651,64339,7628,21809,22296,19779,22495,17865,124843,335126,31643,13498,9121,6839,1660
11140520,1029,1066,208,267,661,696,448,304,2125,80302,631,219,160,98,17
11140540,2762,2428,251,564,676,805,1117,1143,4844,54223,2025,442,302,222,65
11140550,1269,1695,192,479,554,569,642,589,2820,72556,1109,220,141,81,24
11140570,2072,1947,222,1303,721,520,649,621,3175,13542,1480,422,214,157,50
11140580,2366,2320,378,1723,762,670,659,530,6231,13949,1791,432,240,208,65
11140590,2671,2393,256,1311,1076,801,1081,929,4849,42255,2003,536,283,186,46
11140605,1109,728,45,273,318,212,365,410,1735,15564,1081,165,62,35,10
11140615,3800,3817,363,1856,1538,1284,1744,1117,7701,3279,2840,830,439,312,68
11140625,7009,7403,906,2639,2396,2188,2429,1945,13781,6287,3193,1661,1028,853,186
11140635,8147,9144,1037,2092,2546,2569,2935,2624,16509,16639,2914,2082,1492,1014,235
11140645,6693,7424,939,2077,2277,2058,2416,1913,14103,3058,2478,1531,1164,904,219
11140650,5176,5471,600,1763,1856,1642,1951,1327,11141,1116,2643,1188,761,578,145
11140665,5192,5584,882,1525,1414,1686,1998,1395,8838,1193,1155,973,902,834,219
11140670,6054,6619,570,2386,3087,1968,2001,1573,12629,1726,3787,1498,898,579,133
11140680,6302,6300,779,1551,2414,2111,2060,1445,12487,4280,2513,1299,1035,778,178
11170,110403,118959,17019,36195,42354,39125,38792,28862,232340,180859,53405,23093,17159,13372,3444
11170510,8672,9146,1347,2666,2975,2894,3037,2265,17797,2302,4104,1772,1367,970,283
11170520,4898,5275,650,1923,2255,1683,1622,1512,9924,1720,2844,1196,744,479,132
11170530,4722,2991,290,1077,1158,1232,1808,1373,12569,32026,4217,609,301,244,63
11170555,9329,10592,1250,4474,3334,2882,3212,2403,20804,6501,6570,2031,1215,888,246
11170560,7770,8356,912,2513,3879,2765,2288,1660,15895,4603,3791,1693,1260,954,210
11170570,6759,7607,1308,1917,2131,2413,2363,1716,11305,3636,2144,1304,1189,1035,253
11170580,4859,5395,801,1630,1898,1598,1586,1032,8221,1542,1519,998,849,708,184
11170590,5891,6474,884,1868,2080,1905,2024,1531,12223,2617,1985,1313,1037,809,210
11170625,8929,9570,1067,2937,4004,2982,3285,2351,14919,40404,5719,1857,1227,925,193
11170630,13229,15105,3075,3050,3944,5305,4614,3013,37771,14497,2213,2314,2672,2417,555
11170640,4124,4646,523,1019,1539,1257,1423,1327,9128,2976,1318,1046,804,495,139
11170650,3275,3650,412,1731,1806,1304,1311,1103,6642,12821,2237,740,446,300,78
11170660,4275,4987,608,1639,2148,1736,1458,1236,9084,1229,2674,1038,653,432,113
11170685,10234,11031,1411,3134,4821,4004,3694,2873,19475,39460,6164,2365,1443,985,274
11170690,6386,6923,1630,1870,1684,2715,2364,1438,16937,18802,1739,1131,955,1069,343
11170700,7051,7211,851,2747,2698,2450,2703,2029,11346,844,4167,1686,997,662,168
11200,144701,151482,21149,48504,51211,46923,49097,36246,306549,82140,56420,29972,24552,19422,4264
11200520,8390,8822,1264,2654,3064,2752,2867,2098,18769,1353,2933,1751,1415,1178,263
11200535,13011,14287,1673,4596,4954,4130,4563,2989,27242,5959,4519,2553,2370,1940,405
11200540,11335,11668,1752,4751,3375,3217,3890,2959,22637,7449,4941,2329,1729,1449,340
11200550,6108,5790,947,5805,1787,1169,1319,946,10861,2464,5510,992,567,471,123
11200560,6887,7415,1058,2501,2431,2252,2411,1692,16863,2476,2767,1410,1229,950,201
11200570,11399,12862,2217,3063,3803,4237,3958,2708,22582,246,2409,2420,2205,1930,391
11200580,7490,8349,1733,1787,2306,3006,2451,1690,16819,1757,1624,1421,1442,1292,294
11200590,7568,8233,1111,1866,2866,2636,2404,2044,16527,2402,2173,1667,1464,1072,240
11200615,11239,12370,1559,3060,4307,3855,3774,2974,24077,699,3673,2589,2102,1568,313
11200620,7095,7743,990,1590,2831,2660,2179,1794,13303,1190,2208,1619,1435,951,196
11200645,12501,14320,1714,3086,5318,4535,4009,3123,42763,7549,3269,2839,2607,1811,412
11200650,8344,8344,1192,2641,3051,2513,3109,2089,14837,3168,3148,1672,1297,1186,229
11200660,6741,6960,979,2302,2637,2201,2197,1717,12828,5651,3032,1414,1095,844,194
11200670,8809,8025,964,2493,2784,2552,3404,2635,17954,10520,4174,1823,1285,954,222
11200690,5701,5546,560,2127,2082,1568,1929,1500,11125,23391,3009,1093,770,660,162
11200720,5727,5123,645,1826,1768,1696,2130,1608,14049,1599,2829,1173,799,587,154
11200790,6356,5625,791,2356,1847,1944,2503,1680,11990,4591,4202,1207,741,579,125
11215,168472,180175,27305,67609,59631,55182,57924,42519,337776,78393,76534,34026,26435,22936,4902
11215710,10641,11775,922,11394,4660,2311,2266,1727,22504,2741,13187,1977,747,565,93
11215730,9852,10088,1253,5580,4026,2727,3069,2382,19910,2385,6307,2051,1351,977,225
11215740,7687,8035,793,2797,3076,2304,2707,2084,16975,5653,4105,1848,1162,808,171
11215750,10482,11569,1454,4012,4088,3118,3717,2764,22219,2841,4705,2472,1711,1320,308
11215760,8383,8465,1044,2731,2819,2457,3068,2371,17056,1487,4148,1942,1284,886,227
11215770,14580,15176,2087,4602,4678,4399,5477,4272,30120,5098,4991,3177,2578,1936,436
11215780,5368,6278,566,2516,2802,1666,1518,1261,11501,2300,3691,1324,745,517,146
11215810,17252,18452,5617,4161,4098,7839,5364,2962,29686,13757,2249,1972,3031,3923,693
11215820,11029,11853,1560,4475,4029,3627,3991,2868,21084,11334,5895,2441,1640,1298,295
11215830,12679,13353,1987,3983,4213,4249,4456,3574,27298,5156,4089,2620,2161,1878,410
11215840,13881,14972,2669,4073,4485,4711,4745,3532,31646,3422,2965,2509,2442,2561,478
11215847,9008,9041,1008,3682,3289,3166,4552,3401,17670,1267,5088,2047,1317,893,224
11215850,10622,11598,1266,4938,4475,3344,3473,2462,22468,3673,6709,2419,1533,1096,251
11215860,13040,14103,2476,3818,4092,4558,4584,3424,28013,4284,4232,2619,2277,1936,442
11215870,13968,15417,2603,4847,4801,4706,4937,3435,20884,9078,4173,2608,2456,2342,503
11230,170926,173724,25147,65016,53080,52664,55230,46115,334338,78683,78266,33984,26184,21335,5158
11230536,15812,15232,1508,6457,5529,4448,5017,4124,30671,24188,10992,3174,1927,1387,338
11230545,12858,12201,1536,5792,3594,3276,4004,3919,24735,5457,7121,2656,1680,1262,351
11230560,15191,15085,2039,4850,4559,4516,5072,4193,32452,1580,7485,3037,2378,1738,426
11230570,9321,10016,1810,2599,2463,3148,3324,2670,17110,3508,2278,1844,1701,1447,372
11230600,14178,15035,2029,4145,5546,4735,4409,3209,28735,7647,5020,2706,2425,2036,481
11230610,14423,15217,2123,4092,4595,4536,5115,4146,30141,2772,4658,3211,2465,2068,452
11230650,19185,19376,2686,5356,6571,6532,6223,5369,35151,9895,7722,3943,3113,2442,595
11230660,16590,16505,2903,3998,5370,5870,5067,4205,30340,6138,4778,3092,2890,2444,549
11230705,10414,10424,1224,2635,2566,2816,3892,3862,21298,4920,5089,2358,1522,1139,301
11230710,4951,5441,815,5076,1609,1376,1239,973,9184,718,4089,907,576,473,127
11230720,6662,6983,895,4493,2324,1793,2067,1550,15203,1867,3867,1276,944,780,200
11230730,12138,12282,2179,5661,3162,3634,3604,2947,21165,3828,5716,2137,1806,1613,381
11230740,9200,9324,1476,6770,2514,2639,2703,2222,19773,4170,6452,1713,1090,958,217
11230750,10003,10603,1924,3092,2678,3345,3494,2726,20391,2183,2999,1930,1667,1548,368
11260,195931,199857,27733,57116,59608,59095,70915,56852,400816,39778,77396,42377,31588,24642,5790
