code,profitscore,stablescore,profit,stable
11110515,11,424,123456,0.1
11110530,12,423,123456,0.2
11110540,13,422,123456,0.3
11110550,14,421,123456,0.4
11110560,15,420,123456,0.5
11110570,16,419,123456,0.6
11110580,17,418,123456,0.7
11110600,18,417,123456,0.8
11110615,19,416,123456,0.9
11110630,20,415,123456,1
11110640,21,414,123456,1.1
11110650,22,413,123456,1.2
11110670,23,412,123456,1.3
11110680,24,411,123456,1.4
11110690,25,410,123456,1.5
11110700,26,409,123456,1.6
11110710,27,408,123456,1.7
11140520,28,407,123456,1.8
11140540,29,406,123456,1.9
11140550,30,405,123456,2
11140570,31,404,123456,2.1
11140580,32,403,123456,2.2
11140590,33,402,123456,2.3
11140605,34,401,123456,2.4
11140615,35,400,123456,2.5
11140625,36,399,123456,2.6
11140635,37,398,123456,2.7
11140645,38,397,123456,2.8
11140650,39,396,123456,2.9
11140665,40,395,123456,3
11140670,41,394,123456,3.1
11140680,42,393,123456,3.2
11170510,43,392,123456,3.3
11170520,44,391,123456,3.4
11170530,45,390,123456,3.5
11170555,46,389,123456,3.6
11170560,47,388,123456,3.7
11170570,48,387,123456,3.8
11170580,49,386,123456,3.9
11170590,50,385,123456,4
11170625,51,384,123456,4.1
11170630,52,383,123456,4.2
11170640,53,382,123456,4.3
11170650,54,381,123456,4.4
11170660,55,380,123456,4.5
11170685,56,379,123456,4.6
11170690,57,378,123456,4.7
11170700,58,377,123456,4.8
11200520,59,376,123456,4.9
11200535,60,375,123456,5
11200540,61,374,123456,5.1
11200550,62,373,123456,5.2
11200560,63,372,123456,5.3
11200570,64,371,123456,5.4
11200580,65,370,123456,5.5
11200590,66,369,123456,5.6
11200615,67,368,123456,5.7
11200620,68,367,123456,5.8
11200645,69,366,123456,5.9
11200650,70,365,123456,6
11200660,71,364,123456,6.1
11200670,72,363,123456,6.2
11200690,73,362,123456,6.3
11200720,74,361,123456,6.4
11200790,75,360,123456,6.5
11215710,76,359,123456,6.6
11215730,77,358,123456,6.7
11215740,78,357,123456,6.8
11215750,79,356,123456,6.9
11215760,80,355,123456,7
11215770,81,354,123456,7.1
11215780,82,353,123456,7.2
11215810,83,352,123456,7.3
11215820,84,351,123456,7.4
11215830,85,350,123456,7.5
11215840,86,349,123456,7.6
11215847,87,348,123456,7.7
11215850,88,347,123456,7.8
11215860,89,346,123456,7.9
11215870,90,345,123456,8
11230536,91,344,123456,8.1
11230545,92,343,123456,8.2
11230560,93,342,123456,8.3
11230570,94,341,123456,8.4
11230600,95,340,123456,8.5
11230610,96,339,123456,8.6
11230650,97,338,123456,8.7
11230660,98,337,123456,8.8
11230705,99,336,123456,8.9
11230710,100,335,123456,9
11230720,101,334,123456,9.1
11230730,102,333,123456,9.2
11230740,103,332,123456,9.3
11230750,104,331,123456,9.4
11260520,105,330,123456,9.5
11260540,106,329,123456,9.6
11260550,107,328,123456,9.7
11260565,108,327,123456,9.8
11260570,109,326,123456,9.9
11260575,110,325,123456,10
11260580,111,324,123456,10.1
11260590,112,323,123456,10.2
11260600,113,322,123456,10.3
11260610,114,321,123456,10.4
11260620,115,320,123456,10.5
11260630,116,319,123456,10.6
11260655,117,318,123456,10.7
11260660,118,317,123456,10.8
11260680,119,316,123456,10.9
11260690,120,315,123456,11
11290525,121,314,123456,11.1
11290555,122,313,123456,11.2
11290575,123,312,123456,11.3
11290580,124,311,123456,11.4
11290590,125,310,123456,11.5
11290600,126,309,123456,11.6
11290610,127,308,123456,11.7
11290620,128,307,123456,11.8
11290630,129,306,123456,11.9
11290640,130,305,123456,12
11290650,131,304,123456,12.1
11290660,132,303,123456,12.2
11290685,133,302,123456,12.3
11290705,134,301,123456,12.4
11290715,135,300,123456,12.5
11290725,136,299,123456,12.6
11290760,137,298,123456,12.7
11290770,138,297,123456,12.8
11290780,139,296,123456,12.9
11290810,140,295,123456,13
11305534,141,294,123456,13.1
11305535,142,293,123456,13.2
11305545,143,292,123456,13.3
11305555,144,291,123456,13.4
11305575,145,290,123456,13.5
11305590,146,289,123456,13.6
11305600,147,288,123456,13.7
11305606,148,287,123456,13.8
11305610,149,286,123456,13.9
11305620,150,285,123456,14
11305630,151,284,123456,14.1
11305645,152,283,123456,14.2
11305660,153,282,123456,14.3
11320511,154,281,123456,14.4
11320512,155,280,123456,14.5
11320513,156,279,123456,14.6
11320514,157,278,123456,14.7
11320515,158,277,123456,14.8
11320521,159,276,123456,14.9
11320522,160,275,123456,15
11320660,161,274,123456,15.1
11320670,162,273,123456,15.2
11320680,163,272,123456,15.3
11320681,164,271,123456,15.4
11320690,165,270,123456,15.5
11320700,166,269,123456,15.6
11320710,167,268,123456,15.7
11350560,168,267,123456,15.8
11350570,169,266,123456,15.9
11350580,170,265,123456,16
11350595,171,264,123456,16.1
11350600,172,263,123456,16.2
11350611,173,262,123456,16.3
11350612,174,261,123456,16.4
11350619,175,260,123456,16.5
11350621,176,259,123456,16.6
11350624,177,258,123456,16.7
11350625,178,257,123456,16.8
11350630,179,256,123456,16.9
11350640,180,255,123456,17
11350665,181,254,123456,17.1
11350670,182,253,123456,17.2
11350695,183,252,123456,17.3
11350700,184,251,123456,17.4
11350710,185,250,123456,17.5
11350720,186,249,123456,17.6
11380510,187,248,123456,17.7
11380520,188,247,123456,17.8
11380530,189,246,123456,17.9
11380551,190,245,123456,18
11380552,191,244,123456,18.1
11380560,192,243,123456,18.2
11380570,193,242,123456,18.3
11380580,194,241,123456,18.4
11380590,195,240,123456,18.5
11380600,196,239,123456,18.6
11380625,197,238,123456,18.7
11380631,198,237,123456,18.8
11380632,199,236,123456,18.9
11380640,200,235,123456,19
11380650,201,234,123456,19.1
11380690,202,233,123456,19.2
11410520,203,232,123456,19.3
11410555,204,231,123456,19.4
11410565,205,230,123456,19.5
11410585,206,229,123456,19.6
11410615,207,228,123456,19.7
11410620,208,227,123456,19.8
11410640,209,226,123456,19.9
11410655,210,225,123456,20
11410660,211,224,123456,20.1
11410685,212,223,123456,20.2
11410690,213,222,123456,20.3
11410700,214,221,123456,20.4
11410710,215,220,123456,20.5
11410720,216,219,123456,20.6
11440555,217,218,123456,20.7
11440565,218,217,123456,20.8
11440585,219,216,123456,20.9
11440590,220,215,123456,21
11440600,221,214,123456,21.1
11440610,222,213,123456,21.2
11440630,223,212,123456,21.3
11440655,224,211,123456,21.4
11440660,225,210,123456,21.5
11440680,226,209,123456,21.6
11440690,227,208,123456,21.7
11440700,228,207,123456,21.8
11440710,229,206,123456,21.9
11440720,230,205,123456,22
11440730,231,204,123456,22.1
11440740,232,203,123456,22.2
11470510,233,202,123456,22.3
11470520,234,201,123456,22.4
11470530,235,200,123456,22.5
11470540,236,199,123456,22.6
11470550,237,198,123456,22.7
11470560,238,197,123456,22.8
11470570,239,196,123456,22.9
11470580,240,195,123456,23
11470590,241,194,123456,23.1
11470600,242,193,123456,23.2
11470610,243,192,123456,23.3
11470611,244,191,123456,23.4
11470620,245,190,123456,23.5
11470630,246,189,123456,23.6
11470640,247,188,123456,23.7
11470650,248,187,123456,23.8
11470670,249,186,123456,23.9
11470680,250,185,123456,24
11500510,251,184,123456,24.1
11500520,252,183,123456,24.2
11500530,253,182,123456,24.3
11500535,254,181,123456,24.4
11500540,255,180,123456,24.5
11500550,256,179,123456,24.6
11500560,257,178,123456,24.7
11500570,258,177,123456,24.8
11500590,259,176,123456,24.9
11500591,260,175,123456,25
11500593,261,174,123456,25.1
11500603,262,173,123456,25.2
11500604,263,172,123456,25.3
11500605,264,171,123456,25.4
11500611,265,170,123456,25.5
11500615,266,169,123456,25.6
11500620,267,168,123456,25.7
11500630,268,167,123456,25.8
11500640,269,166,123456,25.9
11500641,270,165,123456,26
11530510,271,164,123456,26.1
11530520,272,163,123456,26.2
11530530,273,162,123456,26.3
11530540,274,161,123456,26.4
11530550,275,160,123456,26.5
11530560,276,159,123456,26.6
11530595,277,158,123456,26.7
11530720,278,157,123456,26.8
11530730,279,156,123456,26.9
11530740,280,155,123456,27
11530750,281,154,123456,27.1
11530760,282,153,123456,27.2
11530770,283,152,123456,27.3
11530780,284,151,123456,27.4
11530790,285,150,123456,27.5
11545510,286,149,123456,27.6
11545610,287,148,123456,27.7
11545620,288,147,123456,27.8
11545630,289,146,123456,27.9
11545640,290,145,123456,28
11545670,291,144,123456,28.1
11545680,292,143,123456,28.2
11545690,293,142,123456,28.3
11545700,294,141,123456,28.4
11545710,295,140,123456,28.5
11560515,296,139,123456,28.6
11560535,297,138,123456,28.7
11560540,298,137,123456,28.8
11560550,299,136,123456,28.9
11560560,300,135,123456,29
11560585,301,134,123456,29.1
11560605,302,133,123456,29.2
11560610,303,132,123456,29.3
11560620,304,131,123456,29.4
11560630,305,130,123456,29.5
11560650,306,129,123456,29.6
11560660,307,128,123456,29.7
11560670,308,127,123456,29.8
11560680,309,126,123456,29.9
11560690,310,125,123456,30
11560700,311,124,123456,30.1
11560710,312,123,123456,30.2
11560720,313,122,123456,30.3
11590510,314,121,123456,30.4
11590520,315,120,123456,30.5
11590530,316,119,123456,30.6
11590540,317,118,123456,30.7
11590550,318,117,123456,30.8
11590560,319,116,123456,30.9
11590605,320,115,123456,31
11590620,321,114,123456,31.1
11590630,322,113,123456,31.2
11590640,323,112,123456,31.3
