code,profitscore,stablescore,profit2018,profit2019,expectedprofit2020,survive2018,survive2019,expectedsurvive2020
11110515,0.083107,1.011622,74717455,58056517,50900135,90.9,100,99.91164
11110530,0.433242,0.180017,82239199,48355905,53634660,96.2,96.3,98.95863
11110540,-0.08065,1.088726,72501266,35726802,49621234,100,66.7,100
11110550,-0.44312,0.815142,50518431,46730211,46790350,100,100,99.68647
11110560,-1.10278,0.823745,21683974,18922506,41638474,100,100,99.69633
11110570,-0.15747,0.966588,2.82E+08,1.75E+08,49021225,100,100,99.86003
11110580,0.171535,0.56764,18078925,16375300,51590753,100,93.3,99.40284
11110600,0.060955,1.088726,62993164,46870888,50727134,100,100,100
11110615,1.067733,-3.48392,65246898,51234956,58589980,96.2,96.4,94.75978
11110630,0.780762,-0.08273,60300882,54911801,56348760,96,96.2,98.65752
11110640,0.106919,0.64662,1.35E+08,1.22E+08,51086106,88.9,100,99.49335
11110650,1.908464,0.360859,46167608,34424043,65156016,100,100,99.16587
11110670,-0.04946,1.088726,67553378,59940757,49864783,100,100,100
11110680,-0.15014,1.088726,86576723,58587808,49078465,100,100,100
11110690,-0.39669,1.088726,54519959,61788073,47152967,100,100,100
11110700,-0.4385,1.016396,81415561,67737708,46826430,100,100,99.91711
11110710,-0.14602,-0.18295,65861194,55499124,49110690,100,96.3,98.54267
11110,0,0,78080859.82,59538964.65,51008127.18,98.12941176,96.77647059,99.29719059
11140520,1.240205,-0.00381,76910347,60376099,59936967,98.1,98,98.74796
11140540,1.207784,-0.97935,63988517,52264589,59683766,95.3,97.8,97.62999
11140550,1.159051,-2.03742,74186210,68759841,59303164,90.9,98.8,96.41746
11140570,0.02412,0.039233,75734321,47776249,50439450,100,96.9,98.79729
11140580,0.095501,0.737524,59902075,48751219,50996930,100,94.1,99.59752
11140590,0.760602,-0.58148,76746925,63958695,56191316,95.7,100,98.08595
11140605,-0.03158,-0.42939,51832757,51038574,50004435,93.5,96.6,98.26025
11140615,1.677053,-0.30167,60394851,50838733,63348710,97.4,94.1,98.40661
11140625,0.152695,0.217224,78461799,55521349,51443610,93.7,88.2,99.00126
11140635,-0.53594,0.685906,62816550,34386407,46065426,100,100,99.53837
11140645,-0.62742,1.088726,63489359,75200311,45350960,85.7,83.3,100
11140650,-0.22984,0.854335,81474640,63726698,48456060,85.7,100,99.73139
11140665,-0.53159,1.066327,40036474,39639834,46099386,92.3,100,99.97433
11140670,0.176611,0.771218,87215483,80646247,51630397,100,92.3,99.63614
11140680,-0.28401,0.724271,41288743,38811975,48033000,92.9,100,99.58234
11140,0,0,66298603.4,55446454.67,52465571.8,94.74666667,96.00666667,98.89379067
11170510,-0.16662,0.30119,57597457,37253645,48949790,100,94.1,99.09749
11170520,0.08659,0.537667,33918425,19921019,50927340,94.1,94.4,99.36849
11170530,-0.22329,-0.87158,64131041,37026882,48507185,100,100,97.7535
11170555,0.467346,-0.03695,65837384,46916145,53901010,96.4,92.6,98.70998
11170560,-0.13634,0.254843,72469145,49413041,49186240,100,95.2,99.04438
11170570,-0.30004,0.888173,57211911,60163168,47907786,100,93.3,99.77017
11170580,-0.1364,0.981941,55540082,52213771,49185777,90,100,99.87763
11170590,-0.2099,0.672603,30214018,25756737,48611817,85.7,100,99.52313
11170625,0.89582,-1.67159,99934004,93487189,57247357,93.5,97.8,96.8367
11170630,-0.1395,1.088726,74653804,41459226,49161620,100,100,100
11170640,-0.92343,1.088726,65880495,84565506,43039140,100,100,100
11170650,1.058815,0.691381,1.08E+08,98282185,58520330,100,96,99.54465
