"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 강북구 (1130500000)","322,385","143,187","          2.25","157,769","164,616","          0.96"
"서울특별시 강북구 삼양동(1130553400)","28,108","12,420","          2.26","14,012","14,096","          0.99"
"서울특별시 강북구 미아동(1130553500)","22,657","11,116","          2.04","10,957","11,700","          0.94"
"서울특별시 강북구 송중동(1130554500)","29,514","13,084","          2.26","14,221","15,293","          0.93"
"서울특별시 강북구 송천동(1130555500)","29,215","13,745","          2.13","14,603","14,612","          1.00"
"서울특별시 강북구 삼각산동(1130557500)","33,622","11,892","          2.83","16,225","17,397","          0.93"
"서울특별시 강북구 번제1동(1130559000)","19,607","10,071","          1.95","9,745","9,862","          0.99"
"서울특별시 강북구 번제2동(1130560000)","17,587","7,538","          2.33","8,541","9,046","          0.94"
"서울특별시 강북구 번제3동(1130560600)","19,064","7,613","          2.50","9,074","9,990","          0.91"
"서울특별시 강북구 수유제1동(1130561000)","22,058","10,242","          2.15","10,899","11,159","          0.98"
"서울특별시 강북구 수유제2동(1130562000)","22,468","9,517","          2.36","10,907","11,561","          0.94"
"서울특별시 강북구 수유제3동(1130563000)","23,858","12,224","          1.95","11,936","11,922","          1.00"
"서울특별시 강북구 우이동(1130564500)","21,794","9,434","          2.31","10,616","11,178","          0.95"
"서울특별시 강북구 인수동(1130566000)","32,833","14,291","          2.30","16,033","16,800","          0.95"
