"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 강서구 (1150000000)","600,257","256,560","          2.34","291,966","308,291","          0.95"
"서울특별시 강서구 염창동(1150051000)","41,108","14,491","          2.84","20,162","20,946","          0.96"
"서울특별시 강서구 등촌제1동(1150052000)","23,274","11,586","          2.01","11,028","12,246","          0.90"
"서울특별시 강서구 등촌제2동(1150053000)","22,105","8,538","          2.59","11,001","11,104","          0.99"
"서울특별시 강서구 등촌제3동(1150053500)","33,653","14,728","          2.28","16,138","17,515","          0.92"
"서울특별시 강서구 화곡제1동(1150054000)","53,761","25,509","          2.11","26,475","27,286","          0.97"
"서울특별시 강서구 화곡제2동(1150055000)","19,885","8,234","          2.41","9,683","10,202","          0.95"
"서울특별시 강서구 화곡제3동(1150056000)","22,533","9,108","          2.47","10,840","11,693","          0.93"
"서울특별시 강서구 화곡제4동(1150057000)","22,692","9,816","          2.31","11,180","11,512","          0.97"
"서울특별시 강서구 화곡본동(1150059000)","35,921","15,937","          2.25","17,569","18,352","          0.96"
"서울특별시 강서구 화곡제6동(1150059100)","24,803","10,918","          2.27","12,262","12,541","          0.98"
"서울특별시 강서구 화곡제8동(1150059300)","26,612","11,584","          2.30","12,909","13,703","          0.94"
"서울특별시 강서구 가양제1동(1150060300)","33,040","17,895","          1.85","15,691","17,349","          0.90"
"서울특별시 강서구 가양제2동(1150060400)","16,039","8,135","          1.97","7,648","8,391","          0.91"
"서울특별시 강서구 가양제3동(1150060500)","16,389","7,710","          2.13","7,790","8,599","          0.91"
"서울특별시 강서구 발산제1동(1150061100)","38,887","13,383","          2.91","18,562","20,325","          0.91"
"서울특별시 강서구 우장산동(1150061500)","46,196","16,474","          2.80","22,199","23,997","          0.93"
"서울특별시 강서구 공항동(1150062000)","27,716","12,508","          2.22","13,989","13,727","          1.02"
"서울특별시 강서구 방화제1동(1150063000)","46,250","17,300","          2.67","22,668","23,582","          0.96"
"서울특별시 강서구 방화제2동(1150064000)","24,345","11,445","          2.13","12,074","12,271","          0.98"
"서울특별시 강서구 방화제3동(1150064100)","25,048","11,261","          2.22","12,098","12,950","          0.93"
