"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 금천구 (1154500000)","233,263","106,307","          2.19","118,530","114,733","          1.03"
"서울특별시 금천구 가산동(1154551000)","20,172","12,582","          1.60","11,096","9,076","          1.22"
"서울특별시 금천구 독산제1동(1154561000)","36,994","17,338","          2.13","19,279","17,715","          1.09"
"서울특별시 금천구 독산제2동(1154562000)","20,462","9,388","          2.18","10,431","10,031","          1.04"
"서울특별시 금천구 독산제3동(1154563000)","25,780","12,177","          2.12","13,034","12,746","          1.02"
"서울특별시 금천구 독산제4동(1154564000)","16,793","7,674","          2.19","8,459","8,334","          1.01"
"서울특별시 금천구 시흥제1동(1154567000)","34,752","15,306","          2.27","17,402","17,350","          1.00"
"서울특별시 금천구 시흥제2동(1154568000)","23,448","8,548","          2.74","11,451","11,997","          0.95"
"서울특별시 금천구 시흥제3동(1154569000)","11,727","4,735","          2.48","5,890","5,837","          1.01"
"서울특별시 금천구 시흥제4동(1154570000)","22,248","9,187","          2.42","11,031","11,217","          0.98"
"서울특별시 금천구 시흥제5동(1154571000)","20,887","9,372","          2.23","10,457","10,430","          1.00"
