"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 동작구 (1159000000)","394,788","174,427","          2.26","192,296","202,492","          0.95"
"서울특별시 동작구 노량진제1동(1159051000)","32,383","14,597","          2.22","16,078","16,305","          0.99"
"서울특별시 동작구 노량진제2동(1159052000)","13,389","7,151","          1.87","6,873","6,516","          1.05"
"서울특별시 동작구 상도제1동(1159053000)","46,432","20,954","          2.22","22,740","23,692","          0.96"
"서울특별시 동작구 상도제2동(1159054000)","27,047","11,794","          2.29","13,077","13,970","          0.94"
"서울특별시 동작구 상도제3동(1159055000)","25,843","11,483","          2.25","12,430","13,413","          0.93"
"서울특별시 동작구 상도제4동(1159056000)","29,803","12,920","          2.31","14,746","15,057","          0.98"
"서울특별시 동작구 흑석동(1159060500)","29,457","12,884","          2.29","14,413","15,044","          0.96"
"서울특별시 동작구 사당제1동(1159062000)","23,309","12,387","          1.88","11,182","12,127","          0.92"
"서울특별시 동작구 사당제2동(1159063000)","28,162","11,787","          2.39","13,601","14,561","          0.93"
"서울특별시 동작구 사당제3동(1159064000)","25,732","10,388","          2.48","12,569","13,163","          0.95"
"서울특별시 동작구 사당제4동(1159065000)","14,785","6,728","          2.20","7,142","7,643","          0.93"
"서울특별시 동작구 사당제5동(1159065100)","13,090","5,675","          2.31","6,391","6,699","          0.95"
"서울특별시 동작구 대방동(1159066000)","40,197","16,775","          2.40","19,206","20,991","          0.91"
"서울특별시 동작구 신대방제1동(1159067000)","24,483","9,920","          2.47","11,844","12,639","          0.94"
"서울특별시 동작구 신대방제2동(1159068000)","20,676","8,984","          2.30","10,004","10,672","          0.94"
