"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 종로구 (1111000000)","153,780","73,655","          2.09","75,247","78,533","          0.96"
"서울특별시 종로구 청운효자동(1111051500)","13,166","5,422","          2.43","6,173","6,993","          0.88"
"서울특별시 종로구 사직동(1111053000)","9,463","4,471","          2.12","4,277","5,186","          0.82"
"서울특별시 종로구 삼청동(1111054000)","2,852","1,415","          2.02","1,352","1,500","          0.90"
"서울특별시 종로구 부암동(1111055000)","10,146","4,279","          2.37","4,893","5,253","          0.93"
"서울특별시 종로구 평창동(1111056000)","18,995","7,599","          2.50","8,946","10,049","          0.89"
"서울특별시 종로구 무악동(1111057000)","8,229","3,018","          2.73","3,840","4,389","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,571","4,506","          2.35","4,933","5,638","          0.87"
"서울특별시 종로구 가회동(1111060000)","4,479","2,074","          2.16","2,079","2,400","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,520","5,329","          1.41","4,448","3,072","          1.45"
"서울특별시 종로구 종로5.6가동(1111063000)","5,292","3,168","          1.67","2,903","2,389","          1.22"
"서울특별시 종로구 이화동(1111064000)","8,159","4,487","          1.82","3,859","4,300","          0.90"
"서울특별시 종로구 혜화동(1111065000)","17,108","9,090","          1.88","8,294","8,814","          0.94"
"서울특별시 종로구 창신제1동(1111067000)","5,410","3,022","          1.79","2,938","2,472","          1.19"
"서울특별시 종로구 창신제2동(1111068000)","9,013","4,228","          2.13","4,600","4,413","          1.04"
"서울특별시 종로구 창신제3동(1111069000)","7,300","2,878","          2.54","3,586","3,714","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","6,480","3,006","          2.16","3,209","3,271","          0.98"
"서울특별시 종로구 숭인제2동(1111071000)","9,597","5,663","          1.69","4,917","4,680","          1.05"
