"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 중구 (1114000000)","126,032","61,091","          2.06","62,260","63,772","          0.98"
"서울특별시 중구 소공동(1114052000)","2,040","1,069","          1.91","1,010","1,030","          0.98"
"서울특별시 중구 회현동(1114054000)","5,323","3,271","          1.63","2,914","2,409","          1.21"
"서울특별시 중구 명동(1114055000)","2,850","1,419","          2.01","1,197","1,653","          0.72"
"서울특별시 중구 필동(1114057000)","4,012","2,259","          1.78","2,075","1,937","          1.07"
"서울특별시 중구 장충동(1114058000)","4,795","2,670","          1.80","2,438","2,357","          1.03"
"서울특별시 중구 광희동(1114059000)","4,999","2,906","          1.72","2,661","2,338","          1.14"
"서울특별시 중구 을지로동(1114060500)","1,639","1,182","          1.39","1,040","599","          1.74"
"서울특별시 중구 신당동(1114061500)","7,839","4,418","          1.77","3,937","3,902","          1.01"
"서울특별시 중구 다산동(1114062500)","14,743","6,885","          2.14","7,172","7,571","          0.95"
"서울특별시 중구 약수동(1114063500)","17,924","7,814","          2.29","8,504","9,420","          0.90"
"서울특별시 중구 청구동(1114064500)","14,743","6,462","          2.28","7,021","7,722","          0.91"
"서울특별시 중구 신당제5동(1114065000)","9,338","4,438","          2.10","4,654","4,684","          0.99"
"서울특별시 중구 동화동(1114066500)","11,098","4,199","          2.64","5,358","5,740","          0.93"
"서울특별시 중구 황학동(1114067000)","12,314","6,413","          1.92","6,069","6,245","          0.97"
"서울특별시 중구 중림동(1114068000)","12,375","5,686","          2.18","6,210","6,165","          1.01"
