"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 강동구 (1174000000)","424,235","177,368","          2.39","209,746","214,489","          0.98"
"서울특별시 강동구 강일동(1174051500)","32,393","11,190","          2.89","15,666","16,727","          0.94"
"서울특별시 강동구 상일동(1174052000)","11,026","4,192","          2.63","5,496","5,530","          0.99"
"서울특별시 강동구 명일제1동(1174053000)","22,334","8,179","          2.73","10,942","11,392","          0.96"
"서울특별시 강동구 명일제2동(1174054000)","17,926","6,019","          2.98","8,847","9,079","          0.97"
"서울특별시 강동구 고덕제1동(1174055000)","27,314","9,126","          2.99","13,859","13,455","          1.03"
"서울특별시 강동구 고덕제2동(1174056000)","7,235","3,353","          2.16","3,835","3,400","          1.13"
"서울특별시 강동구 암사제1동(1174057000)","36,982","16,211","          2.28","18,360","18,622","          0.99"
"서울특별시 강동구 암사제2동(1174058000)","14,577","5,902","          2.47","7,095","7,482","          0.95"
"서울특별시 강동구 암사제3동(1174059000)","18,894","6,373","          2.96","9,256","9,638","          0.96"
"서울특별시 강동구 천호제1동(1174060000)","28,570","12,840","          2.23","14,133","14,437","          0.98"
"서울특별시 강동구 천호제2동(1174061000)","35,409","17,661","          2.00","17,713","17,696","          1.00"
"서울특별시 강동구 천호제3동(1174062000)","27,782","13,677","          2.03","13,717","14,065","          0.98"
"서울특별시 강동구 성내제1동(1174064000)","20,607","8,136","          2.53","9,987","10,620","          0.94"
"서울특별시 강동구 성내제2동(1174065000)","24,819","12,509","          1.98","12,307","12,512","          0.98"
"서울특별시 강동구 성내제3동(1174066000)","23,759","10,201","          2.33","11,786","11,973","          0.98"
"서울특별시 강동구 길동(1174068500)","46,498","20,447","          2.27","22,846","23,652","          0.97"
"서울특별시 강동구 둔촌제1동(1174069000)","274","167","          1.64","130","144","          0.90"
"서울특별시 강동구 둔촌제2동(1174070000)","27,836","11,185","          2.49","13,771","14,065","          0.98"
