"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 구로구 (1153000000)","405,415","174,505","          2.32","200,561","204,854","          0.98"
"서울특별시 구로구 신도림동(1153051000)","37,144","13,471","          2.76","18,139","19,005","          0.95"
"서울특별시 구로구 구로제1동(1153052000)","21,409","7,883","          2.72","10,551","10,858","          0.97"
"서울특별시 구로구 구로제2동(1153053000)","25,739","12,823","          2.01","13,040","12,699","          1.03"
"서울특별시 구로구 구로제3동(1153054000)","24,528","13,241","          1.85","12,483","12,045","          1.04"
"서울특별시 구로구 구로제4동(1153055000)","21,224","10,582","          2.01","10,396","10,828","          0.96"
"서울특별시 구로구 구로제5동(1153056000)","30,043","14,418","          2.08","14,531","15,512","          0.94"
"서울특별시 구로구 가리봉동(1153059500)","9,543","5,865","          1.63","5,182","4,361","          1.19"
"서울특별시 구로구 고척제1동(1153072000)","23,949","9,543","          2.51","12,010","11,939","          1.01"
"서울특별시 구로구 고척제2동(1153073000)","28,564","11,659","          2.45","14,167","14,397","          0.98"
"서울특별시 구로구 개봉제1동(1153074000)","33,250","14,006","          2.37","16,625","16,625","          1.00"
"서울특별시 구로구 개봉제2동(1153075000)","33,037","12,644","          2.61","16,156","16,881","          0.96"
"서울특별시 구로구 개봉제3동(1153076000)","21,690","8,842","          2.45","10,625","11,065","          0.96"
"서울특별시 구로구 오류제1동(1153077000)","21,996","10,743","          2.05","10,772","11,224","          0.96"
"서울특별시 구로구 오류제2동(1153078000)","48,491","18,938","          2.56","23,574","24,917","          0.95"
"서울특별시 구로구 수궁동(1153079000)","24,808","9,847","          2.52","12,310","12,498","          0.98"
