"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 도봉구 (1132000000)","336,698","138,460","          2.43","164,731","171,967","          0.96"
"서울특별시 도봉구 창제1동(1132051100)","26,417","10,958","          2.41","12,672","13,745","          0.92"
"서울특별시 도봉구 창제2동(1132051200)","30,734","12,409","          2.48","15,096","15,638","          0.97"
"서울특별시 도봉구 창제3동(1132051300)","14,887","6,681","          2.23","7,448","7,439","          1.00"
"서울특별시 도봉구 창제4동(1132051400)","28,100","10,615","          2.65","13,571","14,529","          0.93"
"서울특별시 도봉구 창제5동(1132051500)","25,869","10,027","          2.58","12,503","13,366","          0.94"
"서울특별시 도봉구 도봉제1동(1132052100)","22,395","10,244","          2.19","11,307","11,088","          1.02"
"서울특별시 도봉구 도봉제2동(1132052200)","28,734","12,176","          2.36","14,133","14,601","          0.97"
"서울특별시 도봉구 쌍문제1동(1132066000)","22,221","9,273","          2.40","10,774","11,447","          0.94"
"서울특별시 도봉구 쌍문제2동(1132067000)","20,090","8,631","          2.33","9,721","10,369","          0.94"
"서울특별시 도봉구 쌍문제3동(1132068000)","17,208","7,811","          2.20","8,304","8,904","          0.93"
"서울특별시 도봉구 쌍문제4동(1132068100)","19,894","7,158","          2.78","9,491","10,403","          0.91"
"서울특별시 도봉구 방학제1동(1132069000)","30,076","12,845","          2.34","14,918","15,158","          0.98"
"서울특별시 도봉구 방학제2동(1132070000)","21,183","9,538","          2.22","10,691","10,492","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","28,890","10,094","          2.86","14,102","14,788","          0.95"
