"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 마포구 (1144000000)","374,422","173,845","          2.15","177,388","197,034","          0.90"
"서울특별시 마포구 아현동(1144055500)","24,908","10,178","          2.45","11,729","13,179","          0.89"
"서울특별시 마포구 공덕동(1144056500)","39,948","18,924","          2.11","18,978","20,970","          0.91"
"서울특별시 마포구 도화동(1144058500)","22,408","9,637","          2.33","10,654","11,754","          0.91"
"서울특별시 마포구 용강동(1144059000)","21,976","9,163","          2.40","10,424","11,552","          0.90"
"서울특별시 마포구 대흥동(1144060000)","11,634","7,146","          1.63","5,696","5,938","          0.96"
"서울특별시 마포구 염리동(1144061000)","12,482","5,722","          2.18","6,044","6,438","          0.94"
"서울특별시 마포구 신수동(1144063000)","21,112","9,185","          2.30","10,336","10,776","          0.96"
"서울특별시 마포구 서강동(1144065500)","25,356","11,690","          2.17","12,095","13,261","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,472","14,079","          1.74","11,347","13,125","          0.86"
"서울특별시 마포구 합정동(1144068000)","18,907","9,578","          1.97","8,803","10,104","          0.87"
"서울특별시 마포구 망원제1동(1144069000)","21,752","10,705","          2.03","10,270","11,482","          0.89"
"서울특별시 마포구 망원제2동(1144070000)","19,279","8,250","          2.34","9,212","10,067","          0.92"
"서울특별시 마포구 연남동(1144071000)","16,068","8,670","          1.85","7,513","8,555","          0.88"
"서울특별시 마포구 성산제1동(1144072000)","19,979","9,345","          2.14","9,448","10,531","          0.90"
"서울특별시 마포구 성산제2동(1144073000)","41,464","18,713","          2.22","19,203","22,261","          0.86"
"서울특별시 마포구 상암동(1144074000)","32,677","12,860","          2.54","15,636","17,041","          0.92"
