"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 서초구 (1165000000)","431,360","172,907","          2.49","206,478","224,882","          0.92"
"서울특별시 서초구 서초1동(1165051000)","21,305","9,264","          2.30","10,292","11,013","          0.93"
"서울특별시 서초구 서초2동(1165052000)","18,240","8,247","          2.21","8,721","9,519","          0.92"
"서울특별시 서초구 서초3동(1165053000)","30,584","13,399","          2.28","14,985","15,599","          0.96"
"서울특별시 서초구 서초4동(1165053100)","31,599","11,010","          2.87","15,298","16,301","          0.94"
"서울특별시 서초구 잠원동(1165054000)","34,358","13,900","          2.47","16,353","18,005","          0.91"
"서울특별시 서초구 반포본동(1165055000)","12,266","4,173","          2.94","5,776","6,490","          0.89"
"서울특별시 서초구 반포1동(1165056000)","32,872","14,393","          2.28","15,814","17,058","          0.93"
"서울특별시 서초구 반포2동(1165057000)","16,244","5,165","          3.15","7,732","8,512","          0.91"
"서울특별시 서초구 반포3동(1165058000)","20,206","7,007","          2.88","9,545","10,661","          0.90"
"서울특별시 서초구 반포4동(1165058100)","19,817","7,376","          2.69","9,349","10,468","          0.89"
"서울특별시 서초구 방배본동(1165059000)","21,356","7,892","          2.71","9,935","11,421","          0.87"
"서울특별시 서초구 방배1동(1165060000)","17,466","7,588","          2.30","8,223","9,243","          0.89"
"서울특별시 서초구 방배2동(1165061000)","21,180","8,896","          2.38","10,005","11,175","          0.90"
"서울특별시 서초구 방배3동(1165062000)","22,431","8,524","          2.63","10,838","11,593","          0.93"
"서울특별시 서초구 방배4동(1165062100)","23,985","9,775","          2.45","11,027","12,958","          0.85"
"서울특별시 서초구 양재1동(1165065100)","45,837","18,224","          2.52","21,922","23,915","          0.92"
"서울특별시 서초구 양재2동(1165065200)","23,127","10,812","          2.14","11,635","11,492","          1.01"
"서울특별시 서초구 내곡동(1165066000)","18,487","7,262","          2.55","9,028","9,459","          0.95"
