"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 성동구 (1120000000)","304,936","136,872","          2.23","149,412","155,524","          0.96"
"서울특별시 성동구 왕십리제2동(1120052000)","17,605","7,631","          2.31","8,566","9,039","          0.95"
"서울특별시 성동구 왕십리도선동(1120053500)","27,379","11,774","          2.33","13,072","14,307","          0.91"
"서울특별시 성동구 마장동(1120054000)","23,523","10,884","          2.16","11,616","11,907","          0.98"
"서울특별시 성동구 사근동(1120055000)","11,802","7,440","          1.59","6,073","5,729","          1.06"
"서울특별시 성동구 행당제1동(1120056000)","16,187","7,322","          2.21","7,904","8,283","          0.95"
"서울특별시 성동구 행당제2동(1120057000)","24,835","9,504","          2.61","11,674","13,161","          0.89"
"서울특별시 성동구 응봉동(1120058000)","16,203","6,167","          2.63","7,665","8,538","          0.90"
"서울특별시 성동구 금호1가동(1120059000)","15,939","6,630","          2.40","7,637","8,302","          0.92"
"서울특별시 성동구 금호2.3가동(1120061500)","24,162","10,347","          2.34","11,511","12,651","          0.91"
"서울특별시 성동구 금호4가동(1120062000)","15,192","6,497","          2.34","7,268","7,924","          0.92"
"서울특별시 성동구 옥수동(1120064500)","27,067","10,989","          2.46","12,687","14,380","          0.88"
"서울특별시 성동구 성수1가제1동(1120065000)","17,099","7,650","          2.24","8,558","8,541","          1.00"
"서울특별시 성동구 성수1가제2동(1120066000)","14,935","7,047","          2.12","7,427","7,508","          0.99"
"서울특별시 성동구 성수2가제1동(1120067000)","17,444","8,604","          2.03","9,085","8,359","          1.09"
"서울특별시 성동구 성수2가제3동(1120069000)","11,439","5,680","          2.01","5,849","5,590","          1.05"
"서울특별시 성동구 송정동(1120072000)","11,150","5,580","          2.00","5,924","5,226","          1.13"
"서울특별시 성동구 용답동(1120079000)","12,975","7,126","          1.82","6,896","6,079","          1.13"
