"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 성북구 (1129000000)","440,397","190,253","          2.31","213,648","226,749","          0.94"
"서울특별시 성북구 성북동(1129052500)","17,189","8,038","          2.14","8,112","9,077","          0.89"
"서울특별시 성북구 삼선동(1129055500)","26,099","12,683","          2.06","12,520","13,579","          0.92"
"서울특별시 성북구 동선동(1129057500)","15,527","9,038","          1.72","6,590","8,937","          0.74"
"서울특별시 성북구 돈암제1동(1129058000)","16,014","6,326","          2.53","7,484","8,530","          0.88"
"서울특별시 성북구 돈암제2동(1129059000)","24,999","8,573","          2.92","11,918","13,081","          0.91"
"서울특별시 성북구 안암동(1129060000)","15,360","9,065","          1.69","7,789","7,571","          1.03"
"서울특별시 성북구 보문동(1129061000)","16,509","7,958","          2.07","7,997","8,512","          0.94"
"서울특별시 성북구 정릉제1동(1129062000)","18,959","7,426","          2.55","9,199","9,760","          0.94"
"서울특별시 성북구 정릉제2동(1129063000)","23,799","9,656","          2.46","11,656","12,143","          0.96"
"서울특별시 성북구 정릉제3동(1129064000)","15,877","7,753","          2.05","7,945","7,932","          1.00"
"서울특별시 성북구 정릉제4동(1129065000)","26,629","11,005","          2.42","12,926","13,703","          0.94"
"서울특별시 성북구 길음제1동(1129066000)","37,109","12,867","          2.88","17,694","19,415","          0.91"
"서울특별시 성북구 길음제2동(1129068500)","16,128","6,683","          2.41","7,866","8,262","          0.95"
"서울특별시 성북구 종암동(1129070500)","40,607","17,141","          2.37","20,080","20,527","          0.98"
"서울특별시 성북구 월곡제1동(1129071500)","27,485","10,767","          2.55","13,322","14,163","          0.94"
"서울특별시 성북구 월곡제2동(1129072500)","20,068","9,116","          2.20","9,780","10,288","          0.95"
"서울특별시 성북구 장위제1동(1129076000)","20,811","9,026","          2.31","10,259","10,552","          0.97"
"서울특별시 성북구 장위제2동(1129077000)","14,107","6,348","          2.22","7,043","7,064","          1.00"
"서울특별시 성북구 장위제3동(1129078000)","11,621","4,830","          2.41","5,846","5,775","          1.01"
"서울특별시 성북구 석관동(1129081000)","35,500","15,954","          2.23","17,622","17,878","          0.99"
