"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 용산구 (1117000000)","229,122","109,692","          2.09","110,560","118,562","          0.93"
"서울특별시 용산구 후암동(1117051000)","18,076","8,557","          2.11","8,786","9,290","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","10,571","5,482","          1.93","5,110","5,461","          0.94"
"서울특별시 용산구 남영동(1117053000)","7,828","5,434","          1.44","4,792","3,036","          1.58"
"서울특별시 용산구 청파동(1117055500)","20,005","10,678","          1.87","9,517","10,488","          0.91"
"서울특별시 용산구 원효로제1동(1117056000)","15,688","7,588","          2.07","7,591","8,097","          0.94"
"서울특별시 용산구 원효로제2동(1117057000)","14,699","6,019","          2.44","6,909","7,790","          0.89"
"서울특별시 용산구 효창동(1117058000)","9,710","4,041","          2.40","4,622","5,088","          0.91"
"서울특별시 용산구 용문동(1117059000)","12,579","5,376","          2.34","6,024","6,555","          0.92"
"서울특별시 용산구 한강로동(1117062500)","17,821","9,613","          1.85","8,618","9,203","          0.94"
"서울특별시 용산구 이촌제1동(1117063000)","28,268","10,267","          2.75","13,186","15,082","          0.87"
"서울특별시 용산구 이촌제2동(1117064000)","8,939","3,867","          2.31","4,203","4,736","          0.89"
"서울특별시 용산구 이태원제1동(1117065000)","6,944","3,785","          1.83","3,272","3,672","          0.89"
"서울특별시 용산구 이태원제2동(1117066000)","9,381","4,903","          1.91","4,339","5,042","          0.86"
"서울특별시 용산구 한남동(1117068500)","20,521","11,044","          1.86","9,922","10,599","          0.94"
"서울특별시 용산구 서빙고동(1117069000)","13,433","5,316","          2.53","6,480","6,953","          0.93"
"서울특별시 용산구 보광동(1117070000)","14,659","7,722","          1.90","7,189","7,470","          0.96"
