"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 강동구 (1174000000)","457,330","193,924","          2.36","225,103","232,227","          0.97"
"서울특별시 강동구 강일동(1174051500)","31,647","11,273","          2.81","15,273","16,374","          0.93"
"서울특별시 강동구 상일동(1174052000)","32,874","11,463","          2.87","16,208","16,666","          0.97"
"서울특별시 강동구 명일제1동(1174053000)","26,467","10,109","          2.62","12,923","13,544","          0.95"
"서울특별시 강동구 명일제2동(1174054000)","17,449","6,017","          2.90","8,587","8,862","          0.97"
"서울특별시 강동구 고덕제1동(1174055000)","26,392","8,926","          2.96","13,400","12,992","          1.03"
"서울특별시 강동구 고덕제2동(1174056000)","21,233","8,162","          2.60","10,771","10,462","          1.03"
"서울특별시 강동구 암사제1동(1174057000)","35,865","16,229","          2.21","17,757","18,108","          0.98"
"서울특별시 강동구 암사제2동(1174058000)","15,519","6,360","          2.44","7,525","7,994","          0.94"
"서울특별시 강동구 암사제3동(1174059000)","18,326","6,347","          2.89","8,962","9,364","          0.96"
"서울특별시 강동구 천호제1동(1174060000)","27,658","12,913","          2.14","13,614","14,044","          0.97"
"서울특별시 강동구 천호제2동(1174061000)","34,927","17,873","          1.95","17,274","17,653","          0.98"
"서울특별시 강동구 천호제3동(1174062000)","26,780","13,834","          1.94","13,100","13,680","          0.96"
"서울특별시 강동구 성내제1동(1174064000)","20,292","8,208","          2.47","9,845","10,447","          0.94"
"서울특별시 강동구 성내제2동(1174065000)","24,326","12,842","          1.89","11,960","12,366","          0.97"
"서울특별시 강동구 성내제3동(1174066000)","23,490","10,557","          2.23","11,571","11,919","          0.97"
"서울특별시 강동구 길동(1174068500)","46,762","21,432","          2.18","22,873","23,889","          0.96"
"서울특별시 강동구 둔촌제1동(1174069000)","260","160","          1.63","124","136","          0.91"
"서울특별시 강동구 둔촌제2동(1174070000)","27,063","11,219","          2.41","13,336","13,727","          0.97"
