"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 마포구 (1144000000)","373,620","178,114","          2.10","176,174","197,446","          0.89"
"서울특별시 마포구 아현동(1144055500)","24,906","10,263","          2.43","11,657","13,249","          0.88"
"서울특별시 마포구 공덕동(1144056500)","39,094","19,073","          2.05","18,489","20,605","          0.90"
"서울특별시 마포구 도화동(1144058500)","21,907","9,544","          2.30","10,499","11,408","          0.92"
"서울특별시 마포구 용강동(1144059000)","21,814","9,238","          2.36","10,309","11,505","          0.90"
"서울특별시 마포구 대흥동(1144060000)","14,304","8,333","          1.72","6,928","7,376","          0.94"
"서울특별시 마포구 염리동(1144061000)","12,175","5,668","          2.15","5,878","6,297","          0.93"
"서울특별시 마포구 신수동(1144063000)","23,297","10,246","          2.27","11,320","11,977","          0.95"
"서울특별시 마포구 서강동(1144065500)","24,940","11,695","          2.13","11,878","13,062","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,981","15,138","          1.65","11,408","13,573","          0.84"
"서울특별시 마포구 합정동(1144068000)","18,430","9,699","          1.90","8,571","9,859","          0.87"
"서울특별시 마포구 망원제1동(1144069000)","20,991","10,552","          1.99","9,874","11,117","          0.89"
"서울특별시 마포구 망원제2동(1144070000)","19,060","8,495","          2.24","9,006","10,054","          0.90"
"서울특별시 마포구 연남동(1144071000)","15,726","8,845","          1.78","7,379","8,347","          0.88"
"서울특별시 마포구 성산제1동(1144072000)","19,563","9,464","          2.07","9,208","10,355","          0.89"
"서울특별시 마포구 성산제2동(1144073000)","40,750","19,047","          2.14","18,620","22,130","          0.84"
"서울특별시 마포구 상암동(1144074000)","31,682","12,814","          2.47","15,150","16,532","          0.92"
