"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 서대문구 (1141000000)","312,632","144,024","          2.17","149,803","162,829","          0.92"
"서울특별시 서대문구 천연동(1141052000)","18,032","8,137","          2.22","8,561","9,471","          0.90"
"서울특별시 서대문구 북아현동(1141055500)","16,853","7,511","          2.24","8,057","8,796","          0.92"
"서울특별시 서대문구 충현동(1141056500)","18,913","9,639","          1.96","9,098","9,815","          0.93"
"서울특별시 서대문구 신촌동(1141058500)","19,056","13,004","          1.47","8,515","10,541","          0.81"
"서울특별시 서대문구 연희동(1141061500)","37,508","19,491","          1.92","18,106","19,402","          0.93"
"서울특별시 서대문구 홍제제1동(1141062000)","24,501","10,451","          2.34","11,508","12,993","          0.89"
"서울특별시 서대문구 홍제제3동(1141064000)","15,906","7,108","          2.24","7,743","8,163","          0.95"
"서울특별시 서대문구 홍제제2동(1141065500)","14,377","5,909","          2.43","6,839","7,538","          0.91"
"서울특별시 서대문구 홍은제1동(1141066000)","22,891","9,611","          2.38","11,089","11,802","          0.94"
"서울특별시 서대문구 홍은제2동(1141068500)","27,182","12,319","          2.21","13,159","14,023","          0.94"
"서울특별시 서대문구 남가좌제1동(1141069000)","15,993","5,921","          2.70","7,720","8,273","          0.93"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,969","13,171","          2.28","14,445","15,524","          0.93"
"서울특별시 서대문구 북가좌제1동(1141071000)","18,590","6,988","          2.66","8,972","9,618","          0.93"
"서울특별시 서대문구 북가좌제2동(1141072000)","32,861","14,764","          2.23","15,991","16,870","          0.95"
