행정구역,2020년08월_총인구수,2020년08월_세대수,2020년08월_세대당 인구,2020년08월_남자 인구수,2020년08월_여자 인구수,2020년08월_남여 비율
서울특별시 중구 (1114000000),"125,990","63,540",1.98,"61,651","64,339",0.96
서울특별시 중구 소공동(1114052000),"2,095","1,143",1.83,"1,029","1,066",0.97
서울특별시 중구 회현동(1114054000),"5,190","3,058",1.7,"2,762","2,428",1.14
서울특별시 중구 명동(1114055000),"2,964","1,579",1.88,"1,269","1,695",0.75
서울특별시 중구 필동(1114057000),"4,019","2,377",1.69,"2,072","1,947",1.06
서울특별시 중구 장충동(1114058000),"4,686","2,767",1.69,"2,366","2,320",1.02
서울특별시 중구 광희동(1114059000),"5,064","3,123",1.62,"2,671","2,393",1.12
서울특별시 중구 을지로동(1114060500),"1,837","1,387",1.32,"1,109",728,1.52
서울특별시 중구 신당동(1114061500),"7,617","4,563",1.67,"3,800","3,817",1
서울특별시 중구 다산동(1114062500),"14,412","6,991",2.06,"7,009","7,403",0.95
서울특별시 중구 약수동(1114063500),"17,291","7,821",2.21,"8,147","9,144",0.89
서울특별시 중구 청구동(1114064500),"14,117","6,383",2.21,"6,693","7,424",0.9
서울특별시 중구 신당제5동(1114065000),"10,647","5,388",1.98,"5,176","5,471",0.95
서울특별시 중구 동화동(1114066500),"10,776","4,178",2.58,"5,192","5,584",0.93
서울특별시 중구 황학동(1114067000),"12,673","6,910",1.83,"6,054","6,619",0.91
서울특별시 중구 중림동(1114068000),"12,602","5,872",2.15,"6,302","6,300",1
