NM,CD,GUBUN,NUM
서울시 전체,11,si,293
종로구,11110,gu,11
청운효자동,11110515,dong,0
사직동,11110530,dong,2
삼청동,11110540,dong,0
부암동,11110550,dong,0
평창동,11110560,dong,0
무악동,11110570,dong,1
교남동,11110580,dong,0
가회동,11110600,dong,0
종로1.2.3.4가동,11110615,dong,3
종로5.6가동,11110630,dong,2
이화동,11110640,dong,0
혜화동,11110650,dong,1
창신1동,11110670,dong,0
창신2동,11110680,dong,0
창신3동,11110690,dong,1
숭인1동,11110700,dong,0
숭인2동,11110710,dong,1
중구,11140,gu,14
소공동,11140520,dong,1
회현동,11140540,dong,2
명동,11140550,dong,2
필동,11140570,dong,1
장충동,11140580,dong,1
광희동,11140590,dong,1
을지로동,11140605,dong,2
신당동,11140615,dong,1
다산동,11140625,dong,1
약수동,11140635,dong,2
청구동,11140645,dong,0
신당5동,11140650,dong,0
동화동,11140665,dong,0
황학동,11140670,dong,0
중림동,11140680,dong,0
용산구,11170,gu,13
후암동,11170510,dong,0
용산2가동,11170520,dong,1
남영동,11170530,dong,3
청파동,11170555,dong,0
원효로1동,11170560,dong,0
원효로2동,11170570,dong,0
효창동,11170580,dong,0
용문동,11170590,dong,1
한강로동,11170625,dong,4
이촌1동,11170630,dong,0
이촌2동,11170640,dong,0
이태원1동,11170650,dong,1
이태원2동,11170660,dong,0
한남동,11170685,dong,2
서빙고동,11170690,dong,1
보광동,11170700,dong,0
성동구,11200,gu,16
왕십리2동,11200520,dong,1
왕십리도선동,11200535,dong,0
마장동,11200540,dong,1
사근동,11200550,dong,2
행당1동,11200560,dong,1
행당2동,11200570,dong,1
응봉동,11200580,dong,1
금호1가동,11200590,dong,1
금호2.3가동,11200615,dong,0
금호4가동,11200620,dong,1
옥수동,11200645,dong,1
성수1가1동,11200650,dong,0
성수1가2동,11200660,dong,2
성수2가1동,11200670,dong,0
성수2가3동,11200690,dong,1
송정동,11200720,dong,0
용답동,11200790,dong,3
광진구,11215,gu,9
화양동,11215710,dong,1
군자동,11215730,dong,0
중곡1동,11215740,dong,0
중곡2동,11215750,dong,0
중곡3동,11215760,dong,1
중곡4동,11215770,dong,0
능동,11215780,dong,3
광장동,11215810,dong,1
자양1동,11215820,dong,0
자양2동,11215830,dong,1
자양3동,11215840,dong,1
자양4동,11215847,dong,0
구의1동,11215850,dong,0
구의2동,11215860,dong,0
구의3동,11215870,dong,1
동대문구,11230,gu,7
용신동,11230536,dong,2
제기동,11230545,dong,1
전농1동,11230560,dong,0
전농2동,11230570,dong,0
답십리1동,11230600,dong,0
답십리2동,11230610,dong,0
장안1동,11230650,dong,0
장안2동,11230660,dong,0
청량리동,11230705,dong,1
회기동,11230710,dong,0
휘경1동,11230720,dong,1
휘경2동,11230730,dong,0
이문1동,11230740,dong,1
이문2동,11230750,dong,1
중랑구,11260,gu,11
면목2동,11260520,dong,0
면목4동,11260540,dong,1
면목5동,11260550,dong,0
면목본동,11260565,dong,1
면목7동,11260570,dong,0
면목3.8동,11260575,dong,1
상봉1동,11260580,dong,0
상봉2동,11260590,dong,2
중화1동,11260600,dong,1
중화2동,11260610,dong,1
묵1동,11260620,dong,1
묵2동,11260630,dong,0
망우본동,11260655,dong,2
망우3동,11260660,dong,0
신내1동,11260680,dong,0
신내2동,11260690,dong,1
성북구,11290,gu,11
성북동,11290525,dong,0
삼선동,11290555,dong,2
동선동,11290575,dong,0
돈암1동,11290580,dong,0
돈암2동,11290590,dong,0
안암동,11290600,dong,1
보문동,11290610,dong,1
정릉1동,11290620,dong,1
정릉2동,11290630,dong,0
정릉3동,11290640,dong,0
정릉4동,11290650,dong,1
길음1동,11290660,dong,1
길음2동,11290685,dong,0
종암동,11290705,dong,1
월곡1동,11290715,dong,0
월곡2동,11290725,dong,2
장위1동,11290760,dong,0
장위2동,11290770,dong,1
장위3동,11290780,dong,0
석관동,11290810,dong,0
강북구,11305,gu,11
삼양동,11305534,dong,3
미아동,11305535,dong,1
송중동,11305545,dong,1
송천동,11305555,dong,0
삼각산동,11305575,dong,0
번1동,11305590,dong,0
번2동,11305600,dong,0
번3동,11305606,dong,0
수유1동,11305610,dong,1
수유2동,11305620,dong,1
수유3동,11305630,dong,1
우이동,11305645,dong,3
인수동,11305660,dong,0
도봉구,11320,gu,5
창1동,11320511,dong,1
창2동,11320512,dong,0
창3동,11320513,dong,0
창4동,11320514,dong,0
창5동,11320515,dong,1
도봉1동,11320521,dong,0
도봉2동,11320522,dong,2
쌍문1동,11320660,dong,0
쌍문2동,11320670,dong,0
쌍문3동,11320680,dong,0
쌍문4동,11320681,dong,0
방학1동,11320690,dong,1
방학2동,11320700,dong,0
방학3동,11320710,dong,0
노원구,11350,gu,13
월계1동,11350560,dong,2
월계2동,11350570,dong,0
월계3동,11350580,dong,1
공릉1동,11350595,dong,2
공릉2동,11350600,dong,1
하계1동,11350611,dong,0
하계2동,11350612,dong,1
중계본동,11350619,dong,0
중계1동,11350621,dong,0
중계4동,11350624,dong,0
중계2.3동,11350625,dong,1
상계1동,11350630,dong,1
상계2동,11350640,dong,1
상계3.4동,11350665,dong,1
상계5동,11350670,dong,1
상계6.7동,11350695,dong,0
상계8동,11350700,dong,1
상계9동,11350710,dong,0
상계10동,11350720,dong,0
은평구,11380,gu,11
녹번동,11380510,dong,2
불광1동,11380520,dong,1
불광2동,11380530,dong,1
갈현1동,11380551,dong,0
갈현2동,11380552,dong,0
구산동,11380560,dong,1
대조동,11380570,dong,1
응암1동,11380580,dong,0
응암2동,11380590,dong,0
응암3동,11380600,dong,0
역촌동,11380625,dong,0
신사1동,11380631,dong,1
신사2동,11380632,dong,1
증산동,11380640,dong,1
수색동,11380650,dong,1
진관동,11380690,dong,1
서대문구,11410,gu,7
천연동,11410520,dong,0
북아현동,11410555,dong,0
충현동,11410565,dong,2
신촌동,11410585,dong,2
연희동,11410615,dong,0
홍제1동,11410620,dong,0
홍제3동,11410640,dong,1
홍제2동,11410655,dong,1
홍은1동,11410660,dong,0
홍은2동,11410685,dong,0
남가좌1동,11410690,dong,1
남가좌2동,11410700,dong,0
북가좌1동,11410710,dong,0
북가좌2동,11410720,dong,0
마포구,11440,gu,15
아현동,11440555,dong,1
공덕동,11440565,dong,1
도화동,11440585,dong,0
용강동,11440590,dong,1
대흥동,11440600,dong,3
염리동,11440610,dong,1
신수동,11440630,dong,0
서강동,11440655,dong,2
서교동,11440660,dong,2
합정동,11440680,dong,1
망원1동,11440690,dong,0
망원2동,11440700,dong,0
연남동,11440710,dong,0
성산1동,11440720,dong,0
성산2동,11440730,dong,2
상암동,11440740,dong,1
양천구,11470,gu,7
목1동,11470510,dong,2
목2동,11470520,dong,1
목3동,11470530,dong,1
목4동,11470540,dong,0
목5동,11470550,dong,0
신월1동,11470560,dong,0
신월2동,11470570,dong,0
신월3동,11470580,dong,0
신월4동,11470590,dong,0
신월5동,11470600,dong,0
신월6동,11470610,dong,0
신월7동,11470611,dong,1
신정1동,11470620,dong,0
신정2동,11470630,dong,0
신정3동,11470640,dong,1
신정4동,11470650,dong,1
신정6동,11470670,dong,0
신정7동,11470680,dong,0
강서구,11500,gu,17
염창동,11500510,dong,1
등촌1동,11500520,dong,1
등촌2동,11500530,dong,0
등촌3동,11500535,dong,0
화곡1동,11500540,dong,1
화곡2동,11500550,dong,0
화곡3동,11500560,dong,0
화곡4동,11500570,dong,0
화곡본동,11500590,dong,0
화곡6동,11500591,dong,0
화곡8동,11500593,dong,1
가양1동,11500603,dong,2
가양2동,11500604,dong,1
가양3동,11500605,dong,0
발산1동,11500611,dong,0
우장산동,11500615,dong,1
공항동,11500620,dong,4
방화1동,11500630,dong,2
방화2동,11500640,dong,2
방화3동,11500641,dong,1
구로구,11530,gu,10
신도림동,11530510,dong,2
구로1동,11530520,dong,0
구로2동,11530530,dong,1
구로3동,11530540,dong,2
구로4동,11530550,dong,0
구로5동,11530560,dong,1
가리봉동,11530595,dong,0
고척1동,11530720,dong,0
고척2동,11530730,dong,0
개봉1동,11530740,dong,1
개봉2동,11530750,dong,0
개봉3동,11530760,dong,0
오류1동,11530770,dong,0
오류2동,11530780,dong,2
수궁동,11530790,dong,1
금천구,11545,gu,3
가산동,11545510,dong,1
독산1동,11545610,dong,1
독산2동,11545620,dong,0
독산3동,11545630,dong,0
독산4동,11545640,dong,0
시흥1동,11545670,dong,1
시흥2동,11545680,dong,0
시흥3동,11545690,dong,0
시흥4동,11545700,dong,0
시흥5동,11545710,dong,0
영등포구,11560,gu,15
영등포본동,11560515,dong,1
영등포동,11560535,dong,1
여의동,11560540,dong,4
당산1동,11560550,dong,1
당산2동,11560560,dong,1
도림동,11560585,dong,0
문래동,11560605,dong,1
양평1동,11560610,dong,1
양평2동,11560620,dong,1
신길1동,11560630,dong,1
신길3동,11560650,dong,0
신길4동,11560660,dong,0
신길5동,11560670,dong,0
신길6동,11560680,dong,1
신길7동,11560690,dong,1
대림1동,11560700,dong,0
대림2동,11560710,dong,0
대림3동,11560720,dong,1
동작구,11590,gu,11
노량진1동,11590510,dong,2
노량진2동,11590520,dong,0
상도1동,11590530,dong,2
상도2동,11590540,dong,1
상도3동,11590550,dong,0
상도4동,11590560,dong,0
흑석동,11590605,dong,1
사당1동,11590620,dong,0
사당2동,11590630,dong,2
사당3동,11590640,dong,0
사당4동,11590650,dong,1
사당5동,11590651,dong,0
대방동,11590660,dong,2
신대방1동,11590670,dong,1
신대방2동,11590680,dong,0
관악구,11620,gu,4
보라매동,11620525,dong,0
청림동,11620545,dong,0
성현동,11620565,dong,0
행운동,11620575,dong,0
낙성대동,11620585,dong,0
청룡동,11620595,dong,1
은천동,11620605,dong,0
중앙동,11620615,dong,1
인헌동,11620625,dong,1
남현동,11620630,dong,0
서원동,11620645,dong,0
신원동,11620655,dong,0
서림동,11620665,dong,0
신사동,11620685,dong,0
신림동,11620695,dong,1
난향동,11620715,dong,0
조원동,11620725,dong,0
대학동,11620735,dong,0
삼성동,11620745,dong,0
미성동,11620765,dong,0
난곡동,11620775,dong,0
서초구,11650,gu,17
서초1동,11650510,dong,1
서초2동,11650520,dong,1
서초3동,11650530,dong,0
서초4동,11650531,dong,0
잠원동,11650540,dong,1
반포본동,11650550,dong,1
반포1동,11650560,dong,2
반포2동,11650570,dong,1
반포3동,11650580,dong,0
반포4동,11650581,dong,1
방배본동,11650590,dong,0
방배1동,11650600,dong,0
방배2동,11650610,dong,1
방배3동,11650620,dong,0
방배4동,11650621,dong,0
양재1동,11650651,dong,1
양재2동,11650652,dong,1
내곡동,11650660,dong,1
강남구,11680,gu,26
신사동,11680510,dong,1
논현1동,11680521,dong,2
논현2동,11680531,dong,2
압구정동,11680545,dong,0
청담동,11680565,dong,1
삼성1동,11680580,dong,3
삼성2동,11680590,dong,4
대치1동,11680600,dong,0
대치2동,11680610,dong,2
대치4동,11680630,dong,0
역삼1동,11680640,dong,2
역삼2동,11680650,dong,0
도곡1동,11680655,dong,1
도곡2동,11680656,dong,2
개포1동,11680660,dong,0
개포2동,11680670,dong,3
개포4동,11680690,dong,0
세곡동,11680700,dong,0
일원본동,11680720,dong,1
일원1동,11680730,dong,0
일원2동,11680740,dong,1
수서동,11680750,dong,1
송파구,11710,gu,18
풍납1동,11710510,dong,0
풍납2동,11710520,dong,0
거여1동,11710531,dong,1
거여2동,11710532,dong,0
마천1동,11710540,dong,1
마천2동,11710550,dong,0
방이1동,11710561,dong,1
방이2동,11710562,dong,0
오륜동,11710566,dong,1
오금동,11710570,dong,1
송파1동,11710580,dong,0
송파2동,11710590,dong,0
석촌동,11710600,dong,1
삼전동,11710610,dong,0
가락본동,11710620,dong,0
가락1동,11710631,dong,2
가락2동,11710632,dong,2
문정1동,11710641,dong,1
문정2동,11710642,dong,0
장지동,11710646,dong,1
위례동,11710647,dong,1
잠실본동,11710650,dong,0
잠실2동,11710670,dong,0
잠실3동,11710680,dong,1
잠실4동,11710690,dong,1
잠실6동,11710710,dong,2
잠실7동,11710720,dong,1
강동구,11740,gu,10
강일동,11740515,dong,0
상일동,11740520,dong,1
명일1동,11740530,dong,2
명일2동,11740540,dong,0
고덕1동,11740550,dong,1
고덕2동,11740560,dong,0
암사1동,11740570,dong,1
암사2동,11740580,dong,0
암사3동,11740590,dong,0
천호1동,11740600,dong,0
천호2동,11740610,dong,0
천호3동,11740620,dong,0
성내1동,11740640,dong,1
성내2동,11740650,dong,2
성내3동,11740660,dong,1
길동,11740685,dong,1
둔촌1동,11740690,dong,0
둔촌2동,11740700,dong,0
