NM,CD,GUBUN,자치구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
종로구,11110,gu,종로구,계,75783,78776,36760.33333,14241.33333,10787.33333,8898.333333,2495.666667,8923.666667,12899.33333,23853.66667,21420,24867.33333,25869.33333,18145.33333,12503.66667,4961.666667,155873.0724,316446.2621,331,4.5,11,214855
청운효자동,11110515,dong,종로구,청운효자동,6206.666667,6982.333333,1988.333333,1159.333333,990,921,239.3333333,999.3333333,1402,1674.666667,1915,2352,1994.666667,1271,1058,434.6666667,14145.10644,7824.54744,11,9.1,0,165848
사직동,11110530,dong,종로구,사직동,4310.666667,5172.333333,2293,910,683.6666667,536,165,709,766.6666667,1122,1432.666667,1607.333333,1511.333333,1076,778.6666667,387.6666667,9810.403659,74320.05301,27,3.7,2,177228
삼청동,11110540,dong,종로구,삼청동,1355,1525,733.3333333,254.6666667,181.6666667,146,46,146.3333333,220,361.3333333,407.3333333,408.3333333,487.3333333,390,292,133.6666667,3172.440703,4102.866275,7,14.3,0,171226
부암동,11110550,dong,종로구,부암동,4969.333333,5335,1642.666667,946.6666667,762.3333333,698.6666667,182.3333333,601.6666667,1037.666667,1406.666667,1283,1760,1714.333333,1214,838.6666667,373.3333333,10730.92061,3184.225181,13,0,0,107264
평창동,11110560,dong,종로구,평창동,8931.333333,10019,2403.333333,1727.666667,1491.333333,1346,413.6666667,1211,1962.333333,2724.333333,2316,3049.666667,3300.333333,2176,1397,649,20465.96102,2684.304353,14,7.1,0,86046
무악동,11110570,dong,종로구,무악동,3872.666667,4404.333333,745.3333333,707,728.6666667,763.6666667,193.3333333,723,994.6666667,928.6666667,959.3333333,1576.666667,1306.666667,890.6666667,610,235,6656.369975,614.0064428,3,0,1, 
교남동,11110580,dong,종로구,교남동,4881,5545.333333,1646.333333,1095.333333,908.3333333,742.6666667,157.3333333,922.3333333,847.6666667,1392,1882.333333,1845.333333,1527.666667,1031.333333,701.3333333,225.6666667,8783.816116,3901.291142,16,0,0,246999
가회동,11110600,dong,종로구,가회동,2115,2398,937.3333333,439,341.6666667,248.6666667,64,236,389.3333333,540.3333333,615.6666667,824,730.3333333,537,438.6666667,167,4405.574366,20998.12136,7,0,0,168159
종로1.2.3.4가동,11110615,dong,종로구,종로1.2.3.4가동,4486,3082,4115.333333,514.3333333,289.3333333,200.3333333,53.33333333,245,280.3333333,922.6666667,939.6666667,1041.333333,1522,1333,845.3333333,320.6666667,7241.405694,145471.9233,106,4.7,3,259583
종로5.6가동,11110630,dong,종로구,종로5.6가동,2933,2415.666667,2336,509.6666667,295.6666667,186.3333333,55.33333333,142,324.6666667,987.6666667,631.3333333,749.6666667,1025.333333,730,537.3333333,174.3333333,5365.299659,19725.13096,25,4,2,271717
이화동,11110640,dong,종로구,이화동,3891.333333,4375,2669.333333,794.3333333,480.3333333,348,104.3333333,357,563,1760,1446.333333,1169,1183.333333,881.3333333,593.6666667,255,8664.845322,17396.51196,20,5,0,186631
혜화동,11110650,dong,종로구,혜화동,8393.666667,8861.666667,5479.666667,1459.333333,1041.666667,877.3333333,235.3333333,885.6666667,1482.666667,4299,2364.333333,2516.333333,2284.666667,1540.666667,1278.333333,524.6666667,16640.34279,4777.80562,36,8.3,1,156568
창신1동,11110670,dong,종로구,창신1동,2986.666667,2521.333333,1741,580,319.3333333,211,76.66666667,197,335.6666667,656,637.3333333,834,1195.333333,897.6666667,555.3333333,158.3333333,5889.84462,2925.108739,8,12.5,0,204978
창신2동,11110680,dong,종로구,창신2동,4649.333333,4484.333333,1942.666667,906.3333333,640.6666667,455,146.3333333,347,712.3333333,1325.333333,1041,1492.333333,1858.333333,1274.666667,776.6666667,259,9423.923356,652.0521953,3,0,0,91336
창신3동,11110690,dong,종로구,창신3동,3610,3718.333333,924,665.3333333,642.6666667,465,163,466,624,1057.666667,1060,1120,1357,871,523.3333333,205,7919.113906,457.3833418,2,0,1, 
숭인1동,11110700,dong,종로구,숭인1동,3233.666667,3275.333333,1360.333333,652,467.6666667,354.6666667,101.3333333,383,475.3333333,892.6666667,970,1087.666667,1156.666667,803,511,191.6666667,6501.433839,622.6533827,8,0,0,103351
숭인2동,11110710,dong,종로구,숭인2동,4957.666667,4661,3802.333333,920.3333333,522.3333333,398,99,352.3333333,481,1802.666667,1518.666667,1433.666667,1714,1228,768.3333333,267,9177.926675,2861.284865,25,0,1,120490
중구,11140,gu,중구,계,62323.66667,63614,31293,13239.66667,9123,6966.333333,1702,7854.333333,8092,18100.66667,20490.66667,19724.66667,21105,15825,9918.333333,3981,123857.2428,518051.8984,437,1.8,14,245466
소공동,11140520,dong,중구,소공동,1005.333333,1022,622.6666667,212.3333333,158.3333333,101.3333333,17.66666667,194.6666667,119.6666667,203.3333333,498.3333333,382,260.6666667,214.3333333,107.6666667,33.33333333,1144.199398,139250.9289,54,1.9,1,237841
회현동,11140540,dong,중구,회현동,2925,2391.666667,2079,445.3333333,289,230.6666667,62,232.6666667,192,525,577.6666667,762,1096.666667,1014.333333,575.3333333,236.6666667,5176.88971,72084.84109,44,0,2,380702
명동,11140550,dong,중구,명동,1228.666667,1673.333333,1089.333333,207.6666667,140,82,23,130,103.6666667,297.3333333,398.3333333,516.6666667,505.3333333,510.6666667,292,119.3333333,1026.945123,163147.8133,93,3.2,2,229724
필동,11140570,dong,중구,필동,2107.333333,1963,1442,418,218.3333333,159.6666667,51.66666667,225.6666667,247.6666667,608.6666667,626.6666667,563.3333333,679,568,333.6666667,173,3390.498443,17700.46525,29,3.4,1,160609
장충동,11140580,dong,중구,장충동,2424.666667,2328.666667,1721,426.6666667,240,217,70.66666667,215.3333333,350,1134.333333,702.3333333,698.3333333,601.3333333,499.3333333,386.6666667,136.3333333,6572.659747,13204.3393,18,5.6,1,109530
광희동,11140590,dong,중구,광희동,2664,2338.333333,1931.666667,515.3333333,282.6666667,182.3333333,48.33333333,174.3333333,221,728,719,638.3333333,962.6666667,843,483.6666667,188.3333333,4823.883432,34478.00941,47,2.1,1,219236
을지로동,11140605,dong,중구,을지로동,1029.333333,601,1075.333333,155.3333333,64,38.33333333,11.33333333,45,50.33333333,143,165.6666667,212.3333333,365,369,183.3333333,74.66666667,1673.493864,29197.41901,33,3,2,180007
신당동,11140615,dong,중구,신당동,3995.666667,3911,2776.666667,824,431,326,67.33333333,296.6666667,432.3333333,1446,1250,1281,1429,914.3333333,587,225.6666667,7143.42948,13948.64781,36,0,1,377840
다산동,11140625,dong,중구,다산동,7213.666667,7628.666667,3163.333333,1624.666667,1049,872,187.3333333,742.3333333,1076.333333,2362,2454.666667,2379.666667,2362.666667,1806.666667,1191,391.6666667,14946.13503,8262.88057,16,0,1,114196
약수동,11140635,dong,중구,약수동,8608.666667,9468.666667,2876.666667,2032.333333,1543,1034.333333,239.6666667,1361,1162.333333,2246,2822.333333,2834.666667,2968,2366,1507.333333,694.6666667,17909.24528,2620.520421,13,0,2,185654
청구동,11140645,dong,중구,청구동,7059.333333,7714.666667,2477.666667,1512.666667,1156.666667,915,230,944.6666667,1104.333333,2109,2385.333333,2280.333333,2491.333333,1704.333333,1159,512.3333333,15206.27966,3070.811384,8,0,0,71725
신당5동,11140650,dong,중구,신당5동,4701.666667,4735.333333,2626,1150.333333,759.6666667,580.3333333,145,630.3333333,676,1275.333333,1429,1610.666667,1675.333333,1098,750,247,11996.53958,2322.154095,8,0,0,116037
동화동,11140665,dong,중구,동화동,5387.333333,5763.333333,1160,951,876.3333333,854,232.3333333,838,973.6666667,1633.666667,1569.666667,1802,1993,1208.666667,724,330,9606.755361,2093.87091,12,0,0,126664
황학동,11140670,dong,중구,황학동,6014,6189.333333,3752,1485,886,581,141.3333333,822.3333333,582,1952.666667,2584.333333,1859.333333,1847.666667,1402,823.6666667,282,12496.32279,3286.968941,12,0,0,130424
중림동,11140680,dong,중구,중림동,5959,5885,2499.666667,1279,1029,792.3333333,174.3333333,1001.333333,800.6666667,1436.333333,2307.333333,1904,1867.333333,1306.333333,814,336,8704.612204,7349.992617,14,0,0,135830
용산구,11170,gu,용산구,계,111182.6667,118557.3333,52515,22844,17053,13544.66667,3541,15214,17882.33333,32172,38225.66667,38310.33333,36019.66667,26006,16915,7389.333333,234511.8488,172332.6732,290,3.8,13,133054
후암동,11170510,dong,용산구,후암동,8931.333333,9378.333333,4076.333333,1750.666667,1383.666667,981.3333333,293.3333333,1216.666667,1575.666667,2526,2987.333333,3042.666667,2886,2074,1292.333333,540.6666667,18242.83538,4337.637422,18,0,0,114071
용산2가동,11170520,dong,용산구,용산2가동,5283.333333,5682.666667,2808.666667,1201,765,496.3333333,134.6666667,547,760,1601.666667,1906.333333,1680.333333,1685.666667,1429.333333,894,382.3333333,10560.37887,2792.550554,16,6.3,1,110562
남영동,11170530,dong,용산구,남영동,4927.333333,3043.666667,4188.666667,599.6666667,308.6666667,241.6666667,69.33333333,266,319,982.3333333,1102,1295,1735.333333,1290.333333,646.3333333,251,12790.18734,52240.88148,32,0,3,116594
청파동,11170555,dong,용산구,청파동,9777.333333,10598.33333,6395.333333,1985.666667,1191.333333,932.3333333,255.6666667,875,1531,3910.666667,3226.666667,3242,3148.666667,2228,1529,564,21752.71645,8608.374555,27,3.7,0,143751
원효로1동,11170560,dong,용산구,원효로1동,7196,7631.333333,3756.666667,1667.666667,1248,940.6666667,227.6666667,1350.333333,916.6666667,2256.333333,3315.666667,2377.666667,2004.666667,1423.333333,802,300.3333333,14263.06733,16499.74376,20,10,0,101088
원효로2동,11170570,dong,용산구,원효로2동,7052.333333,8016.333333,2103.333333,1292.333333,1186,1055,264.6666667,1164,1569.666667,1883.666667,2297.333333,2641.666667,2347.666667,1608.333333,1032,459.3333333,11729.07062,4137.163091,16,12.5,0,91145
효창동,11170580,dong,용산구,효창동,4508.333333,4899.333333,1479,1006.666667,821.3333333,713.6666667,190.3333333,655,847.6666667,1413,1549.666667,1524.333333,1451,943.3333333,684.3333333,278.3333333,8624.811439,1678.033442,10,0,0,138258
용문동,11170590,dong,용산구,용문동,6093,6548.333333,1960,1299.666667,1019.333333,835,218.3333333,971.3333333,1034.666667,1727.666667,2175,2129.333333,1927,1407.333333,888.6666667,308,12497.6148,978.553947,7,0,1,119493
한강로동,11170625,dong,용산구,한강로동,8305,8704,5575,1839.666667,1226.333333,917.6666667,196.6666667,925.3333333,898.3333333,2521,3268.333333,2545,2789,2055.666667,1276.333333,583,13087.72726,54542.12559,45,6.7,4,138682
이촌1동,11170630,dong,용산구,이촌1동,12956.66667,14876.33333,2190.333333,2283.333333,2641.333333,2427.666667,569.3333333,2965,3056.666667,2855,3867.333333,5387.333333,4042.333333,2556.666667,1833,1060.666667,37073.68865,2673.660287,11,0,0,276639
이촌2동,11170640,dong,용산구,이촌2동,4327.333333,4820.333333,1289.666667,1061.333333,772.3333333,524.6666667,138,638.6666667,598.6666667,1083.333333,1560.666667,1365.666667,1489.333333,1232.333333,775.3333333,342.3333333,9313.547867,453.7448263,5,0,0,73394
이태원1동,11170650,dong,용산구,이태원1동,3382.666667,3756,2167.333333,708,446,311.3333333,81.33333333,319,346.6666667,1067,1185.333333,1023,1172.666667,967.6666667,662.6666667,324,6971.412002,5811.477659,24,0,1,200018
이태원2동,11170660,dong,용산구,이태원2동,4417.666667,5078,2615.333333,1026.666667,659.6666667,432,113.6666667,518.6666667,572,1343,1709.666667,1472.666667,1417,1125.666667,891.6666667,367.6666667,9204.453151,2589.730813,16,6.3,0,137777
한남동,11170685,dong,용산구,한남동,9943.666667,10663.66667,6154.333333,2316.333333,1430,973.6666667,271,1188.666667,1202.333333,2816,4042,3435.666667,3149.333333,2461.666667,1596.333333,579,19902.10645,14941.39986,24,0,2,145118
서빙고동,11170690,dong,용산구,서빙고동,6577.333333,7044,1700.666667,1124.666667,957,1070.333333,347,983.6666667,1618.333333,1802.333333,1637.666667,2672,2167.333333,1246.666667,870,558.6666667,17661.48026,5878.667969,8,12.5,1,73081
보광동,11170700,dong,용산구,보광동,7503.333333,7816.666667,4054.333333,1680.666667,997,691.3333333,170,629.6666667,1035,2383,2394.666667,2476,2606.666667,1955.666667,1241,490,12390.97087,766.2134361,11,0,0,98935
성동구,11200,gu,성동구,계,150538.3333,155024,55673,29725,24661,19737.33333,4472.666667,23301,23828,46046.33333,52490,50131.66667,48853.66667,32827,19833.33333,7093,309021.2856,189925.7599,315,4.1,16,117770
왕십리2동,11200520,dong,성동구,왕십리2동,8764,9082,2925,1723.666667,1422,1161.666667,267.3333333,1319.333333,1431.666667,2693.333333,3177.333333,2933.333333,2842.666667,1899.333333,1106,372.6666667,15173.83337,1251.537946,10,0,1,109989
왕십리도선동,11200535,dong,성동구,왕십리도선동,13087,14145,4430.333333,2532,2317.666667,1959,426.6666667,2541.333333,1815,4443.333333,5044,4258.666667,4332,2590,1513,590,26795.06299,8009.170636,33,0,0,132878
마장동,11200540,dong,성동구,마장동,11625.33333,11863,4862,2286.333333,1753.666667,1461.333333,363.6666667,1463.333333,1971.666667,4283,3492,3456.666667,3846,2681.333333,1626.333333,583,23225.0907,10986.71375,15,0,1,117459
사근동,11200550,dong,성동구,사근동,5831,5451,5235.333333,968,567,473.3333333,131.3333333,521.6666667,815.6666667,3811,1641.666667,1306,1269,903,745,234,10318.90747,7359.091082,35,11.4,2,139450
행당1동,11200560,dong,성동구,행당1동,6830.666667,7110.333333,3007,1515.333333,1315.333333,1044.666667,219.3333333,852,1136.666667,2267.666667,2120.666667,2236.666667,2341.666667,1591,977.3333333,361,14896.20188,6266.63385,20,5,1,139883
행당2동,11200570,dong,성동구,행당2동,11931.33333,13335,2374,2369.666667,2187.333333,1965.333333,412.6666667,2307,2518.666667,3039.333333,4148.333333,4748,3753.333333,2478.333333,1604,563.6666667,22898.96915,867.1972913,7,0,1,167266
응봉동,11200580,dong,성동구,응봉동,7872.333333,8668.666667,1627,1401,1437.666667,1310,298.3333333,1461.333333,1922.666667,1794,2447.333333,3317.333333,2336.333333,1621,1167,421.6666667,17452.69619,441.2344633,3,0,1,92137
금호1가동,11200590,dong,성동구,금호1가동,6563.333333,7023.666667,2137.666667,1638.333333,1431.666667,1104,248.6666667,1052.333333,1172.666667,1662.333333,2193.666667,2274,2207.666667,1609.666667,981,380.3333333,14074.61286,995.4273336,11,9.1,1,117966
금호2.3가동,11200615,dong,성동구,금호2.3가동,11779.33333,12759.33333,3627.666667,2551.666667,2137.333333,1555,336.6666667,2042.666667,1787.666667,3121.666667,4626.666667,4077.666667,3706.666667,2723,1735.666667,610,24955.80961,1185.220466,13,7.7,0,136080
금호4가동,11200620,dong,성동구,금호4가동,6990.666667,7522,2166,1585.666667,1445.666667,968,206,1461,992.3333333,1621.333333,2774,2588.333333,2143,1516.666667,1012,343.3333333,12900.02919,791.2640616,6,0,1,123297
옥수동,11200645,dong,성동구,옥수동,12826,14461,3246.333333,2824.666667,2577.333333,1808,432.3333333,2859.666667,1838,3305,5691,4469.333333,3942.333333,2806.666667,1587,662,43827.91619,3222.849174,17,0,1,157397
성수1가1동,11200650,dong,성동구,성수1가1동,8733.666667,8670.333333,3107.333333,1682.333333,1297.666667,1191.666667,235.3333333,1188.333333,1471.333333,2718,2976.333333,2882,3105.666667,1759.666667,912.6666667,338.3333333,15123.451,6053.255046,19,5.3,0,114907
성수1가2동,11200660,dong,성동구,성수1가2동,7942,7925,3057,1400.333333,1115.666667,873.3333333,216,1081,1138.666667,2541,2991,2574.333333,2525,1683,964.6666667,312.3333333,14657.05643,15320.41069,28,3.6,2,124328
성수2가1동,11200670,dong,성동구,성수2가1동,9395.666667,8653.666667,4138,1799.333333,1296.333333,982,219.6666667,1061,1257,2620.333333,2826.333333,2870.666667,3446.666667,2284,1202.333333,401.3333333,19341.29116,44936.91598,22,4.5,0,81475
성수2가3동,11200690,dong,성동구,성수2가3동,6027.666667,5641.666667,2941.333333,1087,786.3333333,661.3333333,171.3333333,723,681.6666667,1950,2154.666667,1682.333333,1995,1401.333333,780.3333333,264,11591.1403,47947.62182,52,5.8,1,113871
송정동,11200720,dong,성동구,송정동,6072.666667,5346.333333,2760.333333,1145.666667,809.6666667,610,154.3333333,683.3333333,783.6666667,1728.333333,1851.333333,1828,2164,1384.333333,706.6666667,257.6666667,14867.59848,2430.268189,6,0,0,92046
용답동,11200790,dong,성동구,용답동,8265.666667,7366,4030.666667,1214,762.6666667,608.6666667,133,682.6666667,1093,2446.666667,2333.666667,2628.333333,2896.666667,1894.666667,1212.333333,397.6666667,15478.93931,27552.9995,18,0,3,107836
광진구,11215,gu,광진구,계,174232.3333,183312.3333,74903,33501.33333,26612.33333,23248.33333,5146.666667,23917,30639,60661.33333,61189,58110.33333,56615.66667,37397.66667,20729.66667,7066.666667,342894.1367,77676.32713,414,6,9,121978
화양동,11215710,dong,광진구,화양동,10349,11270.66667,12872.66667,1966,742,579.6666667,105.6666667,599.3333333,872,8201.333333,4361.666667,2301,2153.333333,1669.333333,1049,337.3333333,20956.58392,6243.747643,65,7.7,1,165353
