NM,CD,GUBUN,,자치구,행정동,,,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
종로구,11110,gu,종로구계,종로구,계,74632.66667,78208.66667,36760.33333,14241.33333,10787.33333,8898.333333,2495.666667,8497.666667,12338,23677.33333,21123,23703,25769.33333,18693.66667,12541.66667,5293.333333,153898.0124,308939.2146,334,3.3,11,217272
청운효자동,11110515,dong,종로구청운효자동,종로구,청운효자동,6088.666667,6917.666667,1988.333333,1159.333333,990,921,239.3333333,936.6666667,1347,1638,1880,2310.666667,1986.333333,1312,1040.666667,463,13781.27239,7565.421443,12,0,0,137481
사직동,11110530,dong,종로구사직동,종로구,사직동,4301.666667,5255,2293,910,683.6666667,536,165,662.3333333,774.6666667,1195.666667,1411,1569.666667,1529.333333,1114,783.6666667,421.3333333,9749.009247,71964.83634,27,0,2,177492
삼청동,11110540,dong,종로구삼청동,종로구,삼청동,1327.666667,1490.333333,733.3333333,254.6666667,181.6666667,146,46,134,213,341.3333333,422.6666667,391.3333333,455,394.6666667,295.3333333,138.3333333,3018.262012,4276.317302,7,0,0,197561
부암동,11110550,dong,종로구부암동,종로구,부암동,4842.333333,5296,1642.666667,946.6666667,762.3333333,698.6666667,182.3333333,606.6666667,939,1426.333333,1317,1638.333333,1709.333333,1240.333333,807.6666667,372.6666667,10352.81942,3276.195741,13,7.7,0,99955
평창동,11110560,dong,종로구평창동,종로구,평창동,8851.666667,10023.66667,2403.333333,1727.666667,1491.333333,1346,413.6666667,1212.666667,1880.666667,2667.333333,2332.666667,2912,3330,2256,1414.666667,692,19825.17102,2612.042794,14,7.1,0,104008
무악동,11110570,dong,종로구무악동,종로구,무악동,3941.666667,4455.333333,745.3333333,707,728.6666667,763.6666667,193.3333333,706,1038,927.6666667,927.3333333,1601,1332.333333,927,611.6666667,265.6666667,6509.421473,697.4096465,3,0,1, 
교남동,11110580,dong,종로구교남동,종로구,교남동,4984,5721,1646.333333,1095.333333,908.3333333,742.6666667,157.3333333,942.6666667,869,1358,1914.666667,1897,1562,1119.666667,718,266.6666667,10468.46456,4198.81385,16,0,0,175245
가회동,11110600,dong,종로구가회동,종로구,가회동,2060,2352.333333,937.3333333,439,341.6666667,248.6666667,64,223.6666667,370.6666667,504.6666667,607.6666667,782,729.3333333,544.6666667,443,160.6666667,4247.959498,21095.556,9,11.1,0,134200
종로1.2.3.4가동,11110615,dong,종로구종로1.2.3.4가동,종로구,종로1.2.3.4가동,4374.666667,2984.666667,4115.333333,514.3333333,289.3333333,200.3333333,53.33333333,227.3333333,254,911.3333333,928,964,1427,1368.333333,826,333.3333333,7140.870893,138970.9951,107,0,3,271591
종로5.6가동,11110630,dong,종로구종로5.6가동,종로구,종로5.6가동,2848.666667,2370,2336,509.667,295.667,186.33,55.3333,129.6666667,302,942.6666667,639,691,1012,720.6666667,537.6666667,192.6666667,5263.236891,19694.11188,25,8,2,256823
이화동,11110640,dong,종로구이화동,종로구,이화동,3829.666667,4243.333333,2669.333333,794.3333333,480.3333333,348,104.3333333,307.3333333,507.3333333,1778,1376,1083.666667,1172,896.3333333,624.3333333,275,8439.323381,18309.04055,18,5.6,0,171984
혜화동,11110650,dong,종로구혜화동,종로구,혜화동,8236,8794.333333,5479.666667,1459.333333,1041.666667,877.3333333,235.3333333,800.3333333,1454,4358.666667,2297.333333,2385.333333,2288.666667,1533,1267.333333,557.6666667,16393.4477,4841.458259,35,8.6,1,168065
창신1동,11110670,dong,종로구창신1동,종로구,창신1동,2893.333333,2443.666667,1741,580,319.3333333,211,76.66666667,182.3333333,294.6666667,634.6666667,568.3333333,746.6666667,1184,957,545.3333333,178,5777.220112,3108.644974,9,0,0,213700
창신2동,11110680,dong,종로구창신2동,종로구,창신2동,4468,4282.666667,1942.666667,906.3333333,640.6666667,455,146.3333333,313,600.3333333,1280,959.6666667,1331.333333,1857.333333,1267.333333,803.3333333,285,8908.347201,659.1287307,4,0,0,80859
창신3동,11110690,dong,종로구창신3동,종로구,창신3동,3556,3669.333333,924,665.3333333,642.6666667,465,163,431.6666667,613.6666667,1043,1068.333333,1047.333333,1312,904.6666667,536,219.3333333,7557.461962,476.5296212,2,0,1,97691
숭인1동,11110700,dong,종로구숭인1동,종로구,숭인1동,3128.666667,3209,1360.333333,652,467.6666667,354.6666667,101.3333333,338.6666667,448.6666667,841.3333333,916,1004.666667,1159,851,527.3333333,210.3333333,5368.806936,662.4798861,8,0,0,133994
숭인2동,11110710,dong,종로구숭인2동,종로구,숭인2동,4900,4700.333333,3802.333333,920.3333333,522.3333333,398,99,342.6666667,431.3333333,1828.666667,1557.333333,1347,1723.666667,1287,759.6666667,261.6666667,10158.63255,2787.269328,25,8,1,128987
중구,11140,gu,중구계,중구,계,62021.66667,63914.66667,31293,13239.66667,9123,6966.333333,1702,7564,7675.666667,18293.33333,20729.66667,18892.33333,21016.66667,16455,10130,4262,119084.8668,528882.7162,425,2.4,14,219231
소공동,11140520,dong,중구소공동,중구,소공동,997.3333333,1051.666667,622.6666667,212.3333333,158.3333333,101.3333333,17.66666667,194,106.3333333,215,468,418,274,219.6666667,104.6666667,35.33333333,1132.819476,141480.359,51,0,1,165063
회현동,11140540,dong,중구회현동,중구,회현동,2926.333333,2436.333333,2079,445.3333333,289,230.6666667,62,223,204.3333333,547.3333333,589.6666667,740.3333333,1085.666667,1041,560.6666667,252.6666667,4171.067606,70870.28088,45,2.2,2,373569
명동,11140550,dong,중구명동,중구,명동,1184.333333,1619.333333,1089.333333,207.6666667,140,82,23,112.6666667,112.6666667,276,367.6666667,458,488.3333333,529.6666667,298,125.3333333,2823.850071,166874.1001,85,3.5,2,191617
