NM,CD,GUBUN,종로구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
종로구,11110,gu,종로구,계,73707,77540,36760.33333,14241.33333,10787.33333,8898.333333,2495.666667,8123.666667,11645.33333,23450,20323.66667,23005.33333,25716.33333,19369.33333,12580,5748,152009.8792,236607.9473,349,3.5,11,214855
청운효자동,11110515,dong,종로구,청운효자동,5936.666667,6803.333333,1988.333333,1159.333333,990,921,239.3333333,894,1244,1620.333333,1767,2241.666667,1990,1355.333333,1028.333333,502,13459.74462,11210.10791,12,2.9,0,165848
사직동,11110530,dong,종로구,사직동,4303,5247.333333,2293,910,683.6666667,536,165,623,726.3333333,1246.666667,1404.333333,1513.666667,1544,1159,784.3333333,439.6666667,10005.17214,50432.33405,30,0,2,177228
삼청동,11110540,dong,종로구,삼청동,1329.666667,1433.333333,733.3333333,254.6666667,181.6666667,146,46,111.3333333,213,352.6666667,390.6666667,384.3333333,427.6666667,401,295,148.6666667,2935.81924,6271.004116,8,0,0,171226
부암동,11110550,dong,종로구,부암동,4826.666667,5299.666667,1642.666667,946.6666667,762.3333333,698.6666667,182.3333333,606.6666667,955.6666667,1378.666667,1249,1660,1720.333333,1277.666667,801,390.6666667,10225.08253,4205.098401,13,0,0,107264
평창동,11110560,dong,종로구,평창동,8739,9891.666667,2403.333333,1727.666667,1491.333333,1346,413.6666667,1197.333333,1696.666667,2580.666667,2274.666667,2798.666667,3353.333333,2378.666667,1424,748,19769.91218,24631.62731,14,7.7,0,86046
무악동,11110570,dong,종로구,무악동,4054.333333,4660.333333,745.3333333,707,728.6666667,763.6666667,193.3333333,746.3333333,1040.666667,952.3333333,992.3333333,1596.333333,1383,1000.333333,642.6666667,295.3333333,6456.996602,482.9442655,4,0,1, 
교남동,11110580,dong,종로구,교남동,4939.333333,5685,1646.333333,1095.333333,908.3333333,742.6666667,157.3333333,913,868,1316,1801,1899,1590.666667,1138,731.6666667,306.6666667,10409.35409,1038.373955,16,0,0,246999
가회동,11110600,dong,종로구,가회동,2018.333333,2354,937.3333333,439,341.6666667,248.6666667,64,214.3333333,352,494,593.3333333,777,701.3333333,581.3333333,442.3333333,170.6666667,4194.465967,11207.84996,9,0,0,168159
종로1.2.3.4가동,11110615,dong,종로구,종로1.2.3.4가동,4311.666667,2906.333333,4115.333333,514.3333333,289.3333333,200.3333333,53.33333333,209,231,859.3333333,883,952.6666667,1392.666667,1380.333333,822,362.6666667,7020.035796,94206.90835,117,0,3,259583
종로5.6가동,11110630,dong,종로구,종로5.6가동,2910.666667,2456.666667,2336,509.6666667,295.6666667,186.3333333,55.33333333,125,256.6666667,1107.666667,695.6666667,648.6666667,991.6666667,749.6666667,540.3333333,202,5214.206737,15595.59129,26,3.4,2,271717
이화동,11110640,dong,종로구,이화동,3691,4140.333333,2669.333333,794.3333333,480.3333333,348,104.3333333,276.3333333,467,1689.666667,1312.666667,1052,1153.333333,904.3333333,608.6666667,309.6666667,8204.404692,4510.438823,20,3.8,0,186631
혜화동,11110650,dong,종로구,혜화동,8127.333333,8716,5479.666667,1459.333333,1041.666667,877.3333333,235.3333333,745,1426,4376.333333,2139.333333,2321,2289,1577.333333,1253.666667,612.6666667,16286.39554,7313.302385,33,0,1,156568
창신1동,11110670,dong,종로구,창신1동,2807.333333,2407,1741,580,319.3333333,211,76.66666667,158.3333333,260.6666667,603.3333333,531.6666667,691.3333333,1158.666667,984.6666667,567.6666667,207,5453.946063,1362.965106,7,6.1,0,204978
창신2동,11110680,dong,종로구,창신2동,4361.666667,4157.333333,1942.666667,906.3333333,640.6666667,455,146.3333333,261.3333333,568.6666667,1221,910.3333333,1226,1864.666667,1305,802.6666667,303,8654.602859,347.7611708,4,14.3,0,91336
창신3동,11110690,dong,종로구,창신3동,3489.666667,3593.666667,924,665.3333333,642.6666667,465,163,412,562.6666667,1004.666667,1002,998,1303.333333,973.6666667,546.3333333,229.3333333,7580.86297,319.1046571,3,0,1, 
숭인1동,11110700,dong,종로구,숭인1동,3021.666667,3160,1360.333333,652,467.6666667,354.6666667,101.3333333,321.3333333,406.3333333,811.3333333,864.3333333,972.3333333,1149.666667,861.6666667,531,221.6666667,6003.116857,446.8339408,8,0,0,103351
숭인2동,11110710,dong,종로구,숭인2동,4839,4628,3802.333333,920.3333333,522.3333333,398,99,309.3333333,370,1835.333333,1512.333333,1272.666667,1703,1341.333333,758.3333333,298.3333333,9210.065,1891.291766,25,0,1,120490
중구,11140,gu,중구,계,61916.33333,64295.33333,31293,13239.66667,9123,6966.333333,1702,7266.666667,7278.666667,18497.33333,20501,18543.66667,20965.33333,17066.66667,10432.66667,4618.333333,124842.5916,335125.8512,451,4,14,245466
소공동,11140520,dong,중구,소공동,1014.666667,1088.666667,622.6666667,212.3333333,158.3333333,101.3333333,17.66666667,193.3333333,111,204.3333333,454,446,298.3333333,234,104.6666667,42.33333333,2124.941739,80301.90007,51,2.2,1,237841
회현동,11140540,dong,중구,회현동,2823.666667,2410,2079,445.3333333,289,230.6666667,62,210,216.3333333,505.6666667,554,691,1030.333333,1062.666667,559.6666667,276.6666667,4844.386535,54222.95525,62,3.9,2,380702
명동,11140550,dong,중구,명동,1256.666667,1706.666667,1089.333333,207.6666667,140,82,23,94.66666667,146.6666667,340,394,449.6666667,508.6666667,524.6666667,329.3333333,139.6666667,2819.865803,72555.51565,88,0,2,229724
필동,11140570,dong,중구,필동,2042.666667,1921.333333,1442,418,218.3333333,159.6666667,51.66666667,202.3333333,175,670,613.6666667,509,607.3333333,606.6666667,352,168.3333333,3174.782083,13541.67267,31,2.3,1,160609
장충동,11140580,dong,중구,장충동,2379,2295.666667,1721,426.6666667,240,217,70.66666667,190,325.3333333,1182.666667,676,603.3333333,600,507.6666667,384,170.3333333,6230.613169,13948.79362,19,3.2,1,109530
광희동,11140590,dong,중구,광희동,2598.666667,2319.666667,1931.666667,515.3333333,282.6666667,182.3333333,48.33333333,141.3333333,197.3333333,720.3333333,738.6666667,615,882,853.6666667,521,199.6666667,4848.702754,42255.39217,54,0,1,219236
을지로동,11140605,dong,중구,을지로동,1100,710,1075.333333,155.3333333,64,38.33333333,11.33333333,52,35,210.3333333,274,192.3333333,353.3333333,391.6666667,192,76.66666667,1735.257258,15564.37527,34,1.9,2,180007
신당동,11140615,dong,중구,신당동,3760.333333,3785,2776.666667,824,431,326,67.33333333,259.3333333,315,1290.333333,1262.333333,1136.666667,1378.333333,966.6666667,637.3333333,240.6666667,7700.965439,3278.598408,33,2.9,1,377840
다산동,11140625,dong,중구,다산동,7075,7433.666667,3163.333333,1624.666667,1049,872,187.3333333,620.3333333,917,2392.666667,2329,2141.666667,2379,1932.666667,1225.333333,484,13781.04111,6286.911911,17,0,1,114196
약수동,11140635,dong,중구,약수동,8262.333333,9258.333333,2876.666667,2032.333333,1543,1034.333333,239.6666667,1224,1053,2082.333333,2561.333333,2569.333333,2902,2582,1635.333333,759,16508.99597,16639.03258,12,5.9,2,185654
청구동,11140645,dong,중구,청구동,6753.666667,7466,2477.666667,1512.666667,1156.666667,915,230,832,955,2003,2250.666667,2065.666667,2388.333333,1870.666667,1175,582,14102.87615,3058.004022,6,0,0,71725
신당5동,11140650,dong,중구,신당5동,5194.333333,5399.333333,2626,1150.333333,759.6666667,580.3333333,145,628,616,1669.666667,1758.333333,1617.333333,1851.666667,1270.666667,806.6666667,321,11140.81072,1115.840279,8,0,0,116037
동화동,11140665,dong,중구,동화동,5226.666667,5615,1160,951,876.3333333,854,232.3333333,797.6666667,895.6666667,1521.666667,1403,1661,1975,1353.333333,750.3333333,409.6666667,8837.899827,1193.459153,10,12.5,0,126664
황학동,11140670,dong,중구,황학동,6107.333333,6593.666667,3752,1485,886,581,141.3333333,759.6666667,533,2161.333333,2861.666667,1826.333333,1820.666667,1481.333333,858.3333333,340.3333333,12629.25168,1726.061509,13,0,0,130424
중림동,11140680,dong,중구,중림동,6321.333333,6292.333333,2499.666667,1279,1029,792.3333333,174.3333333,1062,787.3333333,1543,2370.333333,2019.333333,1990.333333,1428.333333,901.6666667,408,12486.91486,4280.440383,13,7.7,0,135830
용산구,11170,gu,용산구,계,110713.6667,118833.3333,52515,22844,17053,13544.66667,3541,14091.33333,16309.33333,33051.66667,38143,36207.33333,36647.33333,27707.66667,17198.33333,8277,232340.0536,180858.8667,299,0,13,133054
후암동,11170510,dong,용산구,후암동,8708.333333,9185.666667,4076.333333,1750.666667,1383.666667,981.3333333,293.3333333,1044,1355.666667,2630.333333,2846.333333,2828.333333,2927.666667,2184.333333,1325.333333,590,17797.1877,2301.522687,18,2.3,0,114071
용산2가동,11170520,dong,용산구,용산2가동,5013.666667,5372,2808.666667,1201,765,496.3333333,134.6666667,440.6666667,630.6666667,1589.666667,1821,1473.666667,1529.333333,1437.666667,929.3333333,433,9923.750102,1720.333681,19,0,1,110562
남영동,11170530,dong,용산구,남영동,4743.666667,3025,4188.666667,599.6666667,308.6666667,241.6666667,69.33333333,232.6666667,275.3333333,957.3333333,1049.666667,1173.666667,1690,1327,690.3333333,277.6666667,12568.66323,32025.59423,31,5.3,3,116594
