CD,ºÐ±âÆò±ÕÃÑ»ýÈ°ÀÎ±¸¼ö
11110515.0,16891.858134090184
11110530.0,37099.54412892505
11110540.0,7314.471955819573
11110550.0,13634.064530832373
11110560.0,20091.631840693804
11110570.0,7451.513085047042
11110580.0,8836.84998112359
11110600.0,8116.520499417563
11110615.0,81894.5690922331
11110630.0,21484.50507055651
11110640.0,25508.809572180628
11110650.0,33600.88043032034
11110670.0,12792.692205061123
11110680.0,10228.809065737007
11110690.0,4686.391268541987
11110700.0,7357.417790434588
11110710.0,15359.943496198155
11140520.0,35537.84627065892
11140540.0,29162.38478846166
11140550.0,47118.46333346934
11140570.0,17479.73214822709
11140580.0,13373.835570186891
11140590.0,23338.71991120231
11140605.0,18670.890991705066
11140615.0,25478.686172372632
11140625.0,16684.432771188556
11140635.0,15818.214165271374
11140645.0,11907.20567983231
11140650.0,13252.221348779123
11140665.0,9159.238898089478
11140670.0,13313.8181937852
11140680.0,7335.399116498657
11170510.0,14346.86611825237
11170520.0,12151.172474620775
11170530.0,21969.961038010428
11170555.0,25211.589766834677
11170560.0,18212.4566811956
11170570.0,13054.907688807283
11170580.0,10240.488354297873
11170590.0,11116.49837981791
11170625.0,48801.07918446781
11170630.0,27442.343017585124
11170640.0,8596.029844422044
11170650.0,15992.062774428763
11170660.0,11613.20391029506
11170685.0,32032.770859600616
11170690.0,18668.79966589222
11170700.0,11557.554831053187
11200520.0,10828.456581461214
11200535.0,24423.110385491873
11200540.0,28115.361502024127
11200550.0,24853.124151568103
11200560.0,26172.004897003004
11200570.0,18784.48341778034
11200580.0,13488.137646910202
11200590.0,13590.159605443549
11200615.0,24237.47337044451
11200620.0,9730.502570524513
11200645.0,32773.583942265104
11200650.0,17846.013436970363
11200660.0,23494.494901960123
11200670.0,22201.33203266449
11200690.0,26070.329420758124
11200720.0,10732.984554021057
11200790.0,21817.521962884024
11215710.0,44052.02008465342
11215730.0,18515.644986725547
11215740.0,17289.37966542659
11215750.0,19529.032214967356
11215760.0,16315.412494532451
11215770.0,29624.096428936256
11215780.0,17492.07045725326
11215810.0,40218.61696791474
11215820.0,27182.395650395225
11215830.0,26209.224886027903
11215840.0,23648.843653878645
11215847.0,29437.06900081445
11215850.0,23717.753757302868
11215860.0,22299.371887567202
11215870.0,33675.18574515169
11230536.0,45801.69514972958
11230545.0,35429.28203102599
11230560.0,38299.36376344886
11230570.0,17221.768699569573
11230600.0,22679.200096785393
11230610.0,22562.994069207634
11230650.0,33108.92527617127
11230660.0,32573.01256078949
11230705.0,21309.26546644265
11230710.0,21400.831925691247
11230720.0,17937.3436328005
11230730.0,22111.526946879796
11230740.0,29436.112826478493
11230750.0,18631.31935182892
11260520.0,22427.66239489247
11260540.0,18154.015102713773
11260550.0,13308.846339676138
11260565.0,32462.874088450462
11260570.0,18966.387261919164
11260575.0,24043.2496297187
11260580.0,24451.891028885046
11260590.0,27662.632695769327
11260600.0,14511.671494778866
11260610.0,25898.834483163726
11260620.0,29208.10820485311
11260630.0,20608.069258067717
11260655.0,32534.704107669288
11260660.0,13132.65163925851
11260680.0,33232.5811124072
11260690.0,19834.158328025795
11290525.0,19496.00995142249
11290555.0,32215.931568316373
11290575.0,26534.31537222382
11290580.0,16198.986206475614
11290590.0,11812.450118527588
11290600.0,28156.243539314513
11290610.0,21291.659113650472
11290620.0,18510.956079518684
11290630.0,20773.113521010946
11290640.0,17253.062512384793
11290650.0,20737.973940978623
11290660.0,33001.44917403834
11290685.0,12930.43060126248
11290705.0,39632.008875985666
11290715.0,20956.933852454556
11290725.0,28759.89040040803
11290760.0,17477.704815128967
11290770.0,16873.146562405593
11290780.0,10591.948489650536
11290810.0,29817.69087570564
11305534.0,26437.592976908927
11305535.0,24242.966576628907
11305545.0,35633.06741850198
11305555.0,29316.962987245584
