자치구,행정동,1인세대,2인세대,3인세대,4인세대,5인세대
종로구,계,35775,13792,10877,9649,2631
종로구,사직동,2120,870,676,588,150
종로구,삼청동,740,251,194,152,54
종로구,부암동,1608,918,737,732,195
종로구,평창동,2479,1640,1471,1444,420
종로구,무악동,719,652,673,755,172
종로구,교남동,1582,1070,861,777,161
종로구,가회동,935,429,321,273,82
종로구,종로1.2.3.4가동,4175,547,299,226,55
종로구,종로5·6가동,2074,476,313,224,64
종로구,이화동,2639,765,534,403,113
종로구,창신1동,1771,559,361,237,77
종로구,창신2동,1948,845,663,547,171
종로구,창신3동,842,665,639,502,189
종로구,숭인1동,1321,654,485,387,118
종로구,숭인2동,3632,896,554,443,101
종로구,청운효자동,1923,1122,1009,1009,250
종로구,혜화동,5267,1433,1087,950,259
중구,계,29298,12583,9323,7407,1834
중구,소공동,593,194,154,102,17
중구,회현동,2232,436,303,221,58
중구,명동,940,208,136,96,28
중구,필동,1386,382,243,179,52
중구,장충동,1616,460,268,221,79
중구,광희동,1807,518,289,212,52
중구,을지로동,926,133,69,36,14
중구,신당5동,2043,921,702,585,137
중구,황학동,3356,1325,893,633,154
중구,중림동,2421,1213,997,825,164
중구,신당동,2632,798,509,356,89
중구,다산동,2971,1609,1115,904,217
중구,약수동,2760,1995,1565,1120,283
중구,청구동,2440,1513,1192,994,253
중구,동화동,1175,878,888,923,237
용산구,계,50177,22039,17054,14308,3662
용산구,후암동,3901,1680,1413,1138,298
용산구,용산2가동,2784,1206,789,566,150
용산구,남영동,4172,594,334,247,72
용산구,원효로2동,1952,1300,1193,1161,303
용산구,효창동,1327,835,653,653,194
용산구,용문동,1846,1230,1047,915,225
용산구,이촌1동,2189,2193,2579,2442,523
용산구,이촌2동,1251,1008,804,584,154
용산구,이태원1동,2249,712,449,309,111
용산구,이태원2동,2571,1002,677,475,128
용산구,서빙고동,1710,1093,969,1161,321
용산구,보광동,3975,1672,1091,802,197
용산구,청파동,5896,1966,1271,1049,277
용산구,원효로1동,3238,1526,1185,947,220
용산구,한강로동,5214,1753,1202,895,214
용산구,한남동,5902,2269,1398,964,275
성동구,계,53571,28958,24842,21743,4909
성동구,왕십리2동,2911,1652,1464,1264,285
성동구,마장동,4382,2210,1791,1633,409
성동구,사근동,4700,903,599,542,136
성동구,행당1동,2718,1288,1100,939,225
성동구,행당2동,2302,2201,2226,2152,437
성동구,응봉동,1651,1372,1395,1400,337
성동구,금호1가동,1989,1555,1350,1200,257
성동구,금호4가동,2162,1545,1406,1053,232
성동구,성수1가1동,3032,1615,1342,1298,270
성동구,성수1가2동,3213,1507,1215,1045,238
성동구,성수2가1동,4029,1739,1344,1148,242
성동구,성수2가3동,2787,1079,821,722,187
성동구,송정동,2601,1115,834,693,183
성동구,용답동,4383,1527,1017,898,199
성동구,왕십리도선동,4156,2432,2283,2093,444
성동구,금호2.3가동,3456,2477,2122,1688,392
성동구,옥수동,3099,2741,2533,1975,436
광진구,계,69240,32155,27275,25203,5652
광진구,화양동,11579,1904,838,646,127
광진구,군자동,5484,1975,1400,1146,261
광진구,중곡1동,3524,1795,1258,908,210
광진구,중곡2동,4215,2234,1828,1521,311
광진구,중곡3동,3709,1904,1397,1050,269
광진구,중곡4동,4682,2931,2622,2231,534
광진구,능동,3294,1257,777,559,142
광진구,구의1동,5853,2352,1663,1245,302
광진구,구의2동,3752,2333,2102,1870,472
광진구,구의3동,3923,2454,2510,2540,550
광진구,광장동,2105,1783,2958,4136,759
광진구,자양1동,5344,2401,1681,1466,345
광진구,자양2동,3818,2452,2300,2058,478
광진구,자양3동,2730,2315,2509,2720,600
광진구,자양4동,5228,2065,1432,1107,292
동대문구,계,71395,32053,26330,23082,5962
동대문구,회기동,3680,860,609,538,144
동대문구,휘경1동,3793,1225,861,718,181
동대문구,휘경2동,4893,2018,1845,1774,447
동대문구,청량리동,4789,2298,1634,1306,371
동대문구,용신동,9148,2990,1962,1604,440
동대문구,제기동,6522,2510,1740,1412,396
동대문구,전농1동,6623,2736,2209,1850,442
동대문구,전농2동,2028,1767,1736,1540,416
동대문구,답십리1동,4238,2189,2113,1879,511
동대문구,답십리2동,3963,2787,2383,2169,526
