CD,1Ãþ ÀÓ´ë½Ã¼¼
11110,212040
11110515,149361
11110530,148404
11110540,230589
11110550,95828
11110560,116378
11110570,144527
11110580,190521
11110600,143547
11110615,256491
11110630,250974
11110640,195935
11110650,170041
11110670,188328
11110680,85249
11110690,70411
11110700,209853
11110710,151064
11140,226352
11140520,159542
11140540,392834
11140550,253645
11140570,134650
11140580,89626
11140590,182225
11140605,191859
11140615,336315
11140625,108725
11140635,141717
11140645,125751
11140650,140215
11140665,130071
11140670,145735
11140680,158501
11170,128975
11170510,119917
11170520,114724
11170530,88701
11170555,114279
11170560,114736
11170570,100766
11170580,129762
11170590,120811
11170625,124010
11170630,220350
11170640,100762
11170650,171669
11170660,235874
11170685,139726
11170690,78182
11170700,92013
11200,126897
11200520,135498
11200535,149284
11200540,132900
11200550,189639
11200560,158169
11200570,134326
11200580,101570
11200590,149747
11200615,121886
11200620,145070
11200645,179800
11200650,94385
11200660,120022
11200670,98796
11200690,110844
11200720,95767
11200790,105001
11215,107936
11215710,147351
11215730,107359
11215740,92260
11215750,87060
11215760,91166
11215770,89814
11215780,123130
11215810,108525
11215820,99587
11215830,101332
11215840,121776
11215847,103327
11215850,110851
11215860,98962
11215870,126248
11230,118968
11230536,120833
11230545,124386
11230560,127935
11230570,133717
11230600,122658
11230610,94022
11230650,105897
11230660,95242
11230705,123481
11230710,172855
11230720,128554
11230730,116193
11230740,124405
11230750,68702
11260,89913
11260520,88047
11260540,74020
11260550,72812
11260565,88627
11260570,87874
11260575,87998
11260580,92636
11260590,103275
11260600,62236
11260610,89193
11260620,105330
11260630,110387
11260655,87497
11260660,67218
11260680,92915
11260690,121844
11290,105655
11290525,139088
11290555,110147
11290575,157886
11290580,129046
11290590, 
11290600,131905
11290610,96817
11290620,107330
11290630,115222
11290640,101198
11290650,91713
11290660,111214
11290685,86189
11290705,83610
11290715,111180
11290725,101334
11290760,59940
11290770,75714
11290780,93534
11290810,79588
11305,91179
11305534,83920
11305535,100387
11305545,124516
11305555,88510
11305575,120304
11305590,95096
11305600,74150
11305606,78193
11305610,88510
11305620,73407
11305630,101505
11305645,68861
11305660,63163
11320,97093
11320511,107254
11320512,80417
11320513,74091
11320514,218012
11320515,139074
11320521,69514
11320522,88623
11320660,88584
11320670,94776
11320680,108029
11320681,144198
11320690,88058
11320700,101506
11320710,58673
11350,128814
11350560,103361
11350570,88942
11350580, 
11350595,105489
11350600,97328
11350611,87420
11350612, 
11350619,152734
11350621,210576
11350624,143662
11350625,208505
11350630,117448
11350640,151481
11350665,82843
11350670,94242
11350695,158613
11350700,185570
11350710,156429
11350720, 
11380,99553
11380510,96273
11380520,117929
11380530,104358
11380551,95771
11380552,109404
11380560,83293
11380570,102072
11380580,115080
11380590,85725
11380600,93465
11380625,92550
11380631,93935
11380632,75108
11380640,63743
11380650,73809
11380690,131409
11410,134330
11410520,99609
11410555,188282
11410565,108396
11410585,217905
11410615,105565
11410620,119428
11410640,104529
11410655,121252
11410660,102028
11410685,107582
11410690,202508
11410700,84515
11410710, 
11410720,111716
11440,149627
11440555,206701
11440565,103366
11440585,172000
11440590,139479
11440600,131515
11440610,120056
11440630,132489
11440655,155007
11440660,174220
11440680,137632
11440690,143486
11440700,105055
11440710,124463
11440720,112213
11440730,141841
11440740,179654
11470,113300
11470510,152416
11470520,106250
11470530,130152
11470540,102755
11470550,188222
11470560,92224
11470570,76263
11470580,87821
11470590,127282
11470600,70434
11470610,80162
11470611,77072
11470620,122610
11470630,110392
11470640,132155
11470650,109967
11470670,215697
11470680,136951
11500,124556
11500510,120022
11500520,96292
11500530,83520
11500535,153408
11500540,88548
11500550,74873
11500560,111778
11500570,120581
11500590,113590
11500591,110257
11500593,152370
11500603,239840
11500604,158938
11500605,92691
11500611,107256
11500615,126287
11500620,103373
11500630,119026
11500640,75611
11500641,135092
11530,108803
11530510,121697
11530520,127816
11530530,113861
11530540,171524
11530550,126113
11530560,86362
11530595,76350
11530720,101807
11530730,69820
11530740,93218
11530750,99193
11530760,79498
11530770,97961
11530780,108371
11530790,73171
11545,100783
11545510,108401
11545610,101676
11545620,77147
11545630,90960
11545640,79178
11545670,108348
11545680,154199
11545690,106961
11545700,92996
11545710,106072
11560,112828
11560515,130543
11560535,128215
11560540,187993
11560550,98777
11560560,143401
11560585,79065
11560605,114516
11560610,72461
11560620,110113
11560630,87032
11560650,111927
11560660,103159
11560670,77926
11560680,134704
11560690,101418
11560700,85886
11560710,118731
11560720,80087
11590,127102
11590510,163272
11590520,115939
11590530,116809
11590540,108435
11590550,172873
11590560,80353
11590605,138201
11590620,107548
11590630,180474
11590640,130842
11590650,151939
11590651,92915
11590660,115822
11590670,115816
11590680,110308
11620,123668
11620525,100775
11620545,75945
11620565,120950
11620575,115005
11620585,122840
11620595,163423
11620605,144398
11620615,117149
11620625,148282
11620630,117371
11620645,162127
11620655,138271
11620665,81403
11620685,106746
11620695,157066
11620715,130053
11620725,85133
11620735,114378
11620745,96875
11620765,90335
11620775,132216
11650,142847
11650510,125777
11650520,193137
11650530,136069
11650531,126006
11650540,135606
11650550,154215
11650560,189338
11650570,303013
11650580, 
11650581,265483
11650590,118396
11650600,135583
11650610,142822
11650620,88406
11650621,118764
11650651,146052
11650652,87157
11650660,135860
11680,159885
11680510,190766
11680521,158358
11680531,141326
11680545,179640
11680565,159986
11680580,159989
11680590,183569
11680600,220376
11680610,171168
11680630,172127
11680640,160658
11680650,166016
11680655,181810
11680656,164714
11680660,86971
11680670,114487
11680690,79851
11680700,186887
11680720,165450
11680730,105486
11680740,151600
11680750,141561
11710,129378
11710510,100747
11710520,80414
11710531,89375
11710532,134566
11710540,79070
11710550,95107
11710561,101832
11710562,131314
11710566,328710
11710570,83736
11710580,101590
11710590,143584
11710600,107916
11710610,119357
11710620,97354
11710631,44077
11710632,99824
11710641,99403
11710642,233411
11710646,86205
11710647,265931
11710650,134629
11710670,372406
11710680,274458
11710690,284213
11710710,291690
11710720,160038
11740,107111
11740515,260066
11740520,80149
11740530,105643
11740540,103153
11740550,74613
11740560,99824
11740570,116120
11740580,113140
11740590,91580
11740600,98646
11740610,101158
11740620,105651
11740640,96383
11740650,111401
11740660,103780
11740685,118674
11740690, 
11740700,88007
