CD,남자 인구수,여자 인구수
11680,"261,815","285,137"
11680510,"8,169","9,458"
11680521,"10,871","12,639"
11680531,"10,382","11,759"
11680545,"12,907","15,072"
11680565,"13,999","15,798"
11680580,"7,395","7,408"
11680590,"14,144","15,604"
11680600,"12,688","12,650"
11680610,"20,825","20,097"
11680630,"9,864","10,992"
11680640,"17,093","18,369"
11680650,"17,162","19,167"
11680655,"10,725","12,005"
11680656,"16,050","18,543"
11680660,"6,361","6,749"
11680670,"6,798","7,163"
11680690,"9,177","9,525"
11680700,"21,454","23,492"
11680720,"12,228","12,641"
11680730,"8,341","8,676"
11680740,"7,589","8,362"
11680750,"7,593","8,968"
11740,"214,740","218,009"
11740515,"16,070","16,951"
11740520,"5,548","5,511"
11740530,"11,030","11,401"
11740540,"8,948","9,064"
11740550,"13,873","13,552"
11740560,"4,136","3,661"
11740570,"18,814","18,909"
11740580,"7,184","7,559"
11740590,"9,307","9,623"
11740600,"14,489","14,790"
11740610,"18,089","17,963"
11740620,"13,901","14,007"
11740640,"10,182","10,771"
11740650,"12,581","12,652"
11740660,"11,997","12,097"
11740685,"24,275","24,949"
11740690,156,175
11740700,"14,160","14,374"
11305,"157,769","164,616"
11305534,"14,012","14,096"
11305535,"10,957","11,700"
11305545,"14,221","15,293"
11305555,"14,603","14,612"
11305575,"16,225","17,397"
11305590,"9,745","9,862"
11305600,"8,541","9,046"
11305606,"9,074","9,990"
11305610,"10,899","11,159"
11305620,"10,907","11,561"
11305630,"11,936","11,922"
11305645,"10,616","11,178"
11305660,"16,033","16,800"
11500,"291,966","308,291"
11500510,"20,162","20,946"
11500520,"11,028","12,246"
11500530,"11,001","11,104"
11500535,"16,138","17,515"
11500540,"26,475","27,286"
11500550,"9,683","10,202"
11500560,"10,840","11,693"
11500570,"11,180","11,512"
11500590,"17,569","18,352"
11500591,"12,262","12,541"
11500593,"12,909","13,703"
11500603,"15,691","17,349"
11500604,"7,648","8,391"
11500605,"7,790","8,599"
11500611,"18,562","20,325"
11500615,"22,199","23,997"
11500620,"13,989","13,727"
11500630,"22,668","23,582"
11500640,"12,074","12,271"
11500641,"12,098","12,950"
11620,"253,600","250,448"
11620525,"12,469","12,904"
11620545,"8,104","8,387"
11620565,"16,107","16,997"
11620575,"14,592","15,289"
11620585,"8,577","8,624"
11620595,"13,785","14,630"
11620605,"17,458","17,833"
11620615,"7,309","7,934"
11620625,"13,352","13,859"
11620630,"9,051","9,832"
11620645,"11,817","11,262"
11620655,"9,376","9,400"
11620665,"13,556","10,832"
11620685,"11,566","11,499"
11620695,"10,499","10,352"
11620715,"8,248","8,388"
11620725,"9,050","8,782"
11620735,"14,391","9,495"
11620745,"13,295","13,088"
11620765,"16,202","16,674"
11620775,"14,796","14,387"
11215,"173,216","182,532"
11215710,"10,297","11,142"
11215730,"9,934","10,175"
11215740,"7,878","8,087"
11215750,"10,886","11,559"
11215760,"8,772","8,881"
11215770,"15,387","15,760"
11215780,"5,369","6,186"
11215810,"17,613","18,645"
11215820,"11,357","12,076"
11215830,"13,424","13,870"
11215840,"14,485","15,475"
11215847,"10,062","9,920"
11215850,"10,902","11,823"
11215860,"12,422","13,125"
11215870,"14,428","15,808"
11530,"202,016","205,219"
11530510,"18,260","19,033"
11530520,"10,685","10,944"
11530530,"13,398","13,094"
11530540,"12,836","12,552"
11530550,"10,869","11,098"
11530560,"14,852","15,742"
11530595,"5,417","4,531"
11530720,"12,135","12,101"
11530730,"14,590","14,657"
11530740,"16,913","16,871"
11530750,"16,438","17,030"
11530760,"10,636","11,078"
11530770,"10,797","11,116"
11530780,"21,557","22,646"
11530790,"12,633","12,726"
11545,"118,530","114,733"
11545510,"11,096","9,076"
11545610,"19,279","17,715"
11545620,"10,431","10,031"
11545630,"13,034","12,746"
11545640,"8,459","8,334"
11545670,"17,402","17,350"
11545680,"11,451","11,997"
11545690,"5,890","5,837"
11545700,"11,031","11,217"
11545710,"10,457","10,430"
11350,"266,826","282,539"
11350560,"12,231","11,481"
11350570,"12,997","13,897"
11350580,"15,816","16,937"
11350595,"19,277","19,987"
11350600,"20,206","21,016"
11350611,"14,441","15,270"
11350612,"11,523","12,498"
11350619,"13,234","13,736"
11350621,"13,920","14,547"
11350624,"10,629","11,163"
11350625,"17,851","20,299"
11350630,"20,130","21,061"
11350640,"10,698","10,954"
11350665,"13,530","13,514"
11350670,"12,974","13,511"
11350695,"16,623","18,943"
11350700,"11,955","12,809"
11350710,"10,861","11,691"
11350720,"7,930","9,225"
11320,"167,465","174,463"
11320511,"12,914","14,005"
11320512,"15,380","15,955"
11320513,"7,575","7,613"
11320514,"13,803","14,756"
11320515,"12,694","13,546"
11320521,"11,605","11,362"
11320522,"14,289","14,758"
11320660,"10,764","11,386"
11320670,"9,864","10,479"
11320680,"8,371","8,895"
11320681,"9,655","10,532"
11320690,"15,055","15,294"
11320700,"11,023","10,761"
11320710,"14,473","15,121"
11230,"174,128","174,775"
11230536,"15,755","14,776"
11230545,"12,944","12,351"
11230560,"14,841","14,418"
11230570,"9,637","10,363"
11230600,"12,721","13,320"
11230610,"14,272","14,825"
11230650,"19,396","19,380"
11230660,"15,561","15,388"
11230705,"11,103","10,990"
11230710,"4,952","5,391"
11230720,"6,560","6,471"
11230730,"12,143","12,504"
11230740,"13,585","13,547"
11230750,"10,658","11,051"
11590,"192,296","202,492"
11590510,"16,078","16,305"
11590520,"6,873","6,516"
11590530,"22,740","23,692"
11590540,"13,077","13,970"
11590550,"12,430","13,413"
11590560,"14,746","15,057"
11590605,"14,413","15,044"
11590620,"11,182","12,127"
11590630,"13,601","14,561"
11590640,"12,569","13,163"
11590650,"7,142","7,643"
11590651,"6,391","6,699"
11590660,"19,206","20,991"
11590670,"11,844","12,639"
11590680,"10,004","10,672"
11440,"178,430","196,261"
11440555,"12,003","13,354"
11440565,"19,044","20,890"
11440585,"10,834","11,866"
11440590,"10,532","11,520"
11440600,"5,854","6,100"
11440610,"5,017","5,320"
11440630,"10,445","10,902"
11440655,"12,041","13,109"
11440660,"11,514","13,221"
11440680,"9,014","10,342"
11440690,"10,147","11,142"
11440700,"9,396","10,207"
11440710,"7,826","8,794"
11440720,"9,563","10,572"
11440730,"19,323","21,773"
11440740,"15,877","17,149"
11410,"150,131","161,149"
11410520,"9,112","9,945"
11410555,"8,319","9,113"
11410565,"8,873","9,276"
11410585,"8,414","9,992"
11410615,"18,198","19,359"
11410620,"10,886","12,252"
11410640,"8,064","8,579"
11410655,"7,097","7,691"
11410660,"11,721","12,272"
11410685,"14,250","14,876"
11410690,"8,135","8,761"
11410700,"10,862","11,550"
11410710,"9,415","10,017"
11410720,"16,785","17,466"
11650,"210,596","229,248"
11650510,"10,244","10,941"
11650520,"8,383","9,241"
11650530,"14,838","15,394"
11650531,"15,157","16,148"
11650540,"16,491","18,155"
11650550,"5,929","6,624"
11650560,"13,556","14,691"
11650570,"11,361","12,418"
11650580,"9,054","9,993"
11650581,"9,397","10,431"
11650590,"9,915","11,392"
11650600,"8,122","9,164"
11650610,"12,401","13,708"
11650620,"10,643","11,450"
11650621,"11,734","13,743"
11650651,"22,385","24,317"
11650652,"11,845","11,844"
11650660,"9,141","9,594"
11200,"151,571","156,495"
11200520,"8,770","9,128"
11200535,"13,098","14,241"
11200540,"11,682","11,965"
11200550,"5,914","5,542"
11200560,"6,858","7,148"
11200570,"11,890","13,264"
11200580,"7,851","8,652"
11200590,"7,621","8,192"
11200615,"11,685","12,667"
11200620,"7,308","7,922"
11200645,"12,809","14,486"
11200650,"8,716","8,656"
11200660,"7,825","7,819"
11200670,"9,292","8,576"
11200690,"6,033","5,639"
11200720,"6,036","5,313"
11200790,"8,183","7,285"
11290,"214,430","225,842"
11290525,"8,280","9,165"
11290555,"12,846","13,667"
11290575,"6,791","8,932"
11290580,"7,717","8,716"
11290590,"12,006","13,094"
11290600,"7,756","7,512"
11290610,"8,239","8,719"
11290620,"8,808","9,406"
11290630,"11,810","12,276"
11290640,"7,998","8,021"
11290650,"13,187","13,849"
11290660,"18,051","19,621"
11290685,"5,751","6,043"
11290705,"20,345","20,662"
