CD,ÁöÇÏÃ¶¿ª ¼ö
11110,11
11110515,0
11110530,2
11110540,0
11110550,0
11110560,0
11110570,1
11110580,0
11110600,0
11110615,3
11110630,2
11110640,0
11110650,1
11110670,0
11110680,0
11110690,1
11110700,0
11110710,1
11140,14
11140520,1
11140540,2
11140550,2
11140570,1
11140580,1
11140590,1
11140605,2
11140615,1
11140625,1
11140635,2
11140645,0
11140650,0
11140665,0
11140670,0
11140680,0
11170,13
11170510,0
11170520,1
11170530,3
11170555,0
11170560,0
11170570,0
11170580,0
11170590,1
11170625,4
11170630,0
11170640,0
11170650,1
11170660,0
11170685,2
11170690,1
11170700,0
11200,16
11200520,1
11200535,0
11200540,1
11200550,2
11200560,1
11200570,1
11200580,1
11200590,1
11200615,0
11200620,1
11200645,1
11200650,0
11200660,2
11200670,0
11200690,1
11200720,0
11200790,3
11215,9
11215710,1
11215730,0
11215740,0
11215750,0
11215760,1
11215770,0
11215780,3
11215810,1
11215820,0
11215830,1
11215840,1
11215847,0
11215850,0
11215860,0
11215870,1
11230,7
11230536,2
11230545,1
11230560,0
11230570,0
11230600,0
11230610,0
11230650,0
11230660,0
11230705,1
11230710,0
11230720,1
11230730,0
11230740,1
11230750,1
11260,11
11260520,0
11260540,1
11260550,0
11260565,1
11260570,0
11260575,1
11260580,0
11260590,2
11260600,1
11260610,1
11260620,1
11260630,0
11260655,2
11260660,0
11260680,0
11260690,1
11290,11
11290525,0
11290555,2
11290575,0
11290580,0
11290590,0
11290600,1
11290610,1
11290620,1
11290630,0
11290640,0
11290650,1
11290660,1
11290685,0
11290705,1
11290715,0
11290725,2
11290760,0
11290770,1
11290780,0
11290810,0
11305,11
11305534,3
11305535,1
11305545,1
11305555,0
11305575,0
11305590,0
11305600,0
11305606,0
11305610,1
11305620,1
11305630,1
11305645,3
11305660,0
11320,5
11320511,1
11320512,0
11320513,0
11320514,0
11320515,1
11320521,0
11320522,2
11320660,0
11320670,0
11320680,0
11320681,0
11320690,1
11320700,0
11320710,0
11350,13
11350560,2
11350570,0
11350580,1
11350595,2
11350600,1
11350611,0
11350612,1
11350619,0
11350621,0
11350624,0
11350625,1
11350630,1
11350640,1
11350665,1
11350670,1
11350695,0
11350700,1
11350710,0
11350720,0
11380,11
11380510,2
11380520,1
11380530,1
11380551,0
11380552,0
11380560,1
11380570,1
11380580,0
11380590,0
11380600,0
11380625,0
11380631,1
11380632,1
11380640,1
11380650,1
11380690,1
11410,7
11410520,0
11410555,0
11410565,2
11410585,2
11410615,0
11410620,0
11410640,1
11410655,1
11410660,0
11410685,0
11410690,1
11410700,0
11410710,0
11410720,0
11440,15
11440555,1
11440565,1
11440585,0
11440590,1
11440600,3
11440610,1
11440630,0
11440655,2
11440660,2
11440680,1
11440690,0
11440700,0
11440710,0
11440720,0
11440730,2
11440740,1
11470,7
11470510,2
11470520,1
11470530,1
11470540,0
11470550,0
11470560,0
11470570,0
11470580,0
11470590,0
11470600,0
11470610,0
11470611,1
11470620,0
11470630,0
11470640,1
11470650,1
11470670,0
11470680,0
11500,17
11500510,1
11500520,1
11500530,0
11500535,0
11500540,1
11500550,0
11500560,0
11500570,0
11500590,0
11500591,0
11500593,1
11500603,2
11500604,1
11500605,0
11500611,0
11500615,1
11500620,4
11500630,2
11500640,2
11500641,1
11530,10
11530510,2
11530520,0
11530530,1
11530540,2
11530550,0
11530560,1
11530595,0
11530720,0
11530730,0
11530740,1
11530750,0
11530760,0
11530770,0
11530780,2
11530790,1
11545,3
11545510,1
11545610,1
11545620,0
11545630,0
11545640,0
11545670,1
11545680,0
11545690,0
11545700,0
11545710,0
11560,15
11560515,1
11560535,1
11560540,4
11560550,1
11560560,1
11560585,0
11560605,1
11560610,1
11560620,1
11560630,1
11560650,0
11560660,0
11560670,0
11560680,1
11560690,1
11560700,0
11560710,0
11560720,1
11590,11
11590510,2
11590520,0
11590530,2
11590540,1
11590550,0
11590560,0
11590605,1
11590620,0
11590630,2
11590640,0
11590650,1
11590651,0
11590660,2
11590670,1
11590680,0
11620,4
11620525,0
11620545,0
11620565,0
11620575,0
11620585,0
11620595,1
11620605,0
11620615,1
11620625,1
11620630,0
11620645,0
11620655,0
11620665,0
11620685,0
11620695,1
11620715,0
11620725,0
11620735,0
11620745,0
11620765,0
11620775,0
11650,17
11650510,1
11650520,1
11650530,0
11650531,0
11650540,1
11650550,1
11650560,2
11650570,1
11650580,0
11650581,1
11650590,0
11650600,0
11650610,1
11650620,0
11650621,0
11650651,1
11650652,1
11650660,1
11680,26
11680510,1
11680521,2
11680531,2
11680545,0
11680565,1
11680580,3
11680590,4
11680600,0
11680610,2
11680630,0
11680640,2
11680650,0
11680655,1
11680656,2
11680660,0
11680670,3
11680690,0
11680700,0
11680720,1
11680730,0
11680740,1
11680750,1
11710,18
11710510,0
11710520,0
11710531,1
11710532,0
11710540,1
11710550,0
11710561,1
11710562,0
11710566,1
11710570,1
11710580,0
11710590,0
11710600,1
11710610,0
11710620,0
11710631,2
11710632,2
11710641,1
11710642,0
11710646,1
11710647,1
11710650,0
11710670,0
11710680,1
11710690,1
11710710,2
11710720,1
11740,10
11740515,0
11740520,1
11740530,2
11740540,0
11740550,1
11740560,0
11740570,1
11740580,0
11740590,0
11740600,0
11740610,0
11740620,0
11740640,1
11740650,2
11740660,1
11740685,1
11740690,0
11740700,0
